,cohort_year,division,division_name,students_in_cohort,graduation_rate,dropout_rate,income_per_capita,prev_year_teacher_salary,curr_year_teacher_salary,teacher_salary_diff
59,2008,63,New Kent County,225,80.00%,14.67%,50539.0,39887.0,41188.0,3.26
60,2008,65,Northampton County,210,73.81%,15.24%,35341.0,39429.0,42670.0,8.22
61,2008,66,Northumberland County,141,80.85%,9.93%,36305.0,44365.0,46644.0,5.14
62,2008,67,Nottoway County,192,76.56%,15.63%,29935.0,40033.0,39961.0,-0.18
63,2008,68,Orange County,412,85.44%,9.71%,36599.0,41882.0,43133.0,2.99
64,2008,69,Page County,281,80.43%,7.47%,29408.0,40043.0,41602.0,3.89
65,2008,70,Patrick County,221,85.52%,4.98%,25645.0,38081.0,39783.0,4.47
66,2008,71,Pittsylvania County,842,82.07%,14.85%,28046.0,38968.0,41202.0,5.73
67,2008,72,Powhatan County,305,90.49%,3.93%,40335.0,41523.0,45078.0,8.56
68,2008,73,Prince Edward County,223,78.48%,13.90%,23896.0,41459.0,42599.0,2.75
69,2008,74,Prince George County,499,77.96%,17.84%,32140.0,44529.0,45720.0,2.67
70,2008,75,Prince William County,5055,83.20%,10.17%,,54915.0,58351.0,6.26
71,2008,77,Pulaski County,433,77.37%,10.16%,30240.0,37701.0,38890.0,3.15
72,2008,78,Rappahannock County,90,87.78%,7.78%,50867.0,43373.0,43490.0,0.27
73,2008,79,Richmond County,89,82.02%,12.36%,26549.0,42870.0,44150.0,2.99
74,2008,80,Roanoke County,1223,89.78%,4.42%,42235.0,45891.0,46734.0,1.84
75,2008,81,Rockbridge County,275,74.91%,9.82%,,38168.0,40043.0,4.91
76,2008,82,Rockingham County,896,88.95%,6.25%,30321.0,41390.0,43154.0,4.26
77,2008,83,Russell County,364,85.71%,6.59%,28100.0,35479.0,36054.0,1.62
78,2008,84,Scott County,297,90.57%,4.38%,26737.0,40877.0,41271.0,0.96
79,2008,85,Shenandoah County,516,85.66%,9.88%,33167.0,42805.0,44284.0,3.46
80,2008,86,Smyth County,410,83.41%,8.78%,27572.0,37211.0,36969.0,-0.65
81,2008,87,Southampton County,235,74.89%,15.32%,30794.0,40444.0,42082.0,4.05
82,2008,88,Spotsylvania County,1864,80.15%,8.64%,40496.0,46496.0,49414.0,6.28
83,2008,89,Stafford County,2212,86.53%,7.78%,45004.0,49068.0,51383.0,4.72
84,2008,90,Surry County,76,86.84%,11.84%,33487.0,44663.0,44351.0,-0.7
85,2008,91,Sussex County,142,73.24%,15.49%,26316.0,44115.0,44553.0,0.99
86,2008,92,Tazewell County,523,75.53%,13.00%,31319.0,39337.0,39944.0,1.55
87,2008,93,Warren County,456,84.87%,7.46%,36277.0,42427.0,43361.0,2.2
88,2008,94,Washington County,636,83.96%,6.76%,36944.0,38215.0,41560.0,8.75
89,2008,95,Westmoreland County,160,77.50%,10.00%,32996.0,40581.0,42707.0,5.24
90,2008,96,Wise County,518,83.01%,12.36%,27503.0,40831.0,42253.0,3.48
91,2008,97,Wythe County,328,83.84%,7.32%,29392.0,39026.0,41164.0,5.48
92,2008,98,York County,1134,86.33%,3.88%,47798.0,46391.0,46925.0,1.15
93,2008,101,Alexandria City,710,76.62%,14.79%,,61000.0,65202.0,6.89
94,2008,102,Bristol City,195,77.44%,11.79%,36944.0,43619.0,43373.0,-0.57
95,2008,103,Buena Vista City,98,78.57%,11.22%,,42425.0,43262.0,1.97
96,2008,104,Charlottesville City,319,74.61%,17.87%,51484.0,48037.0,50325.0,4.76
97,2008,106,Colonial Heights City,231,72.73%,22.51%,,48999.0,47838.0,-2.37
98,2008,107,Covington City,91,73.63%,18.68%,31590.0,47465.0,44640.0,-5.95
99,2008,108,Danville City,563,74.25%,12.61%,28046.0,40064.0,43283.0,8.03
100,2008,109,Falls Church City,167,97.01%,.00%,,57607.0,61887.0,7.43
101,2008,110,Fredericksburg City,223,75.78%,12.11%,,44864.0,44509.0,-0.79
102,2008,111,Galax City,79,92.41%,5.06%,27602.0,41001.0,41090.0,0.22
103,2008,112,Hampton City,1936,71.95%,14.10%,,37507.0,37594.0,0.23
104,2008,113,Harrisonburg City,386,72.80%,16.58%,30321.0,43074.0,45195.0,4.92
105,2008,114,Hopewell City,307,58.31%,31.60%,32140.0,42351.0,42378.0,0.07
106,2008,115,Lynchburg City,707,73.83%,13.58%,31717.0,41209.0,44702.0,8.48
107,2008,116,Martinsville City,248,80.24%,14.11%,29638.0,45509.0,34465.0,-24.27
108,2008,117,Newport News City,2471,72.80%,14.29%,,43812.0,44735.0,2.11
109,2008,118,Norfolk City,1997,73.21%,15.92%,,44165.0,45288.0,2.54
110,2008,119,Norton City,56,83.93%,14.29%,27503.0,41518.0,43339.0,4.39
111,2008,120,Petersburg City,445,58.20%,33.48%,,38252.0,38998.0,1.95
112,2008,121,Portsmouth City,1173,60.70%,26.77%,,32903.0,34924.0,6.14
113,2008,122,Radford City,128,85.94%,3.91%,28151.0,44199.0,45498.0,2.94
114,2008,123,Richmond City,1749,65.64%,24.76%,,45873.0,46845.0,2.12
115,2008,124,Roanoke City,916,59.06%,23.58%,,45920.0,47392.0,3.2
116,2008,126,Staunton City,221,81.00%,8.14%,,38857.0,41087.0,5.74
117,2008,127,Suffolk City,1106,72.15%,22.42%,,44844.0,47447.0,5.81
118,2008,128,Virginia Beach City,5666,84.17%,7.01%,,47928.0,51102.0,6.62
119,2008,130,Waynesboro City,241,80.91%,8.71%,,43260.0,44056.0,1.84
120,2008,131,Williamsburg-James City County,922,79.72%,10.09%,,50831.0,52367.0,3.02
121,2008,132,Winchester City,298,76.17%,12.42%,39057.0,45022.0,45850.0,1.84
122,2008,135,Franklin City,116,63.79%,25.00%,,43176.0,43610.0,1.0
123,2008,136,Chesapeake City,3295,87.62%,8.80%,,49005.0,51348.0,4.78
124,2008,139,Salem City,330,85.76%,6.67%,42235.0,49864.0,51211.0,2.7
125,2008,142,Poquoson City,208,94.71%,.96%,47798.0,43972.0,43809.0,-0.37
126,2008,143,Manassas City,528,73.67%,13.26%,,55744.0,59709.0,7.11
127,2008,144,Manassas Park City,141,85.11%,10.64%,,53649.0,58247.0,8.57
128,2008,202,Colonial Beach,58,86.21%,6.90%,,39867.0,39792.0,-0.19
129,2008,207,West Point,67,94.03%,4.48%,,40797.0,41071.0,0.67
0,2009,1,Accomack County,472,69.92%,23.73%,32690.0,39973.0,39576.0,-0.99
1,2009,2,Albemarle County,1056,89.49%,6.16%,48606.0,49580.0,51223.0,3.32
2,2009,3,Alleghany County,204,85.29%,9.31%,31000.0,44095.0,45580.0,3.37
3,2009,4,Amelia County,161,83.23%,8.70%,32116.0,40442.0,44349.0,9.66
4,2009,5,Amherst County,420,81.90%,10.71%,29736.0,41935.0,42816.0,2.1
5,2009,6,Appomattox County,175,81.71%,9.71%,31099.0,38755.0,41028.0,5.87
6,2009,7,Arlington County,1320,84.47%,11.89%,74532.0,64447.0,67742.0,5.11
7,2009,8,Augusta County,942,82.38%,13.91%,,43075.0,44062.0,2.29
8,2009,9,Bath County,64,85.94%,10.94%,36004.0,42259.0,42037.0,-0.52
9,2009,10,Bedford County,931,87.54%,5.59%,36006.0,39694.0,40827.0,2.85
10,2009,11,Bland County,89,87.64%,3.37%,27560.0,37863.0,39761.0,5.01
11,2009,12,Botetourt County,398,85.18%,7.79%,39117.0,46561.0,47904.0,2.89
12,2009,13,Brunswick County,146,80.82%,9.59%,26804.0,37843.0,38596.0,1.99
13,2009,14,Buchanan County,252,82.54%,11.90%,29166.0,38686.0,39521.0,2.16
14,2009,15,Buckingham County,187,72.19%,17.65%,23239.0,39827.0,42097.0,5.7
15,2009,16,Campbell County,740,78.51%,9.73%,30882.0,41324.0,42204.0,2.13
16,2009,17,Caroline County,329,75.38%,14.29%,33454.0,43807.0,43301.0,-1.15
17,2009,18,Carroll County,311,84.89%,9.97%,27920.0,37024.0,36938.0,-0.23
18,2009,19,Charles City County,68,94.12%,2.94%,32708.0,40530.0,38511.0,-4.98
19,2009,20,Charlotte County,179,86.03%,7.26%,,40530.0,42040.0,3.73
20,2009,21,Chesterfield County,4871,85.88%,10.10%,41995.0,46486.0,48180.0,3.64
21,2009,22,Clarke County,191,95.29%,2.09%,49672.0,46433.0,45402.0,-2.22
22,2009,23,Craig County,58,81.03%,13.79%,28845.0,43279.0,42430.0,-1.96
23,2009,24,Culpeper County,516,85.27%,8.33%,36083.0,44565.0,48348.0,8.49
24,2009,25,Cumberland County,154,75.32%,14.94%,27272.0,39714.0,39108.0,-1.53
25,2009,26,Dickenson County,203,81.77%,10.34%,26856.0,37146.0,39957.0,7.57
26,2009,27,Dinwiddie County,453,71.96%,15.23%,,44461.0,45181.0,1.62
27,2009,28,Essex County,138,86.23%,9.42%,33256.0,44821.0,42812.0,-4.48
28,2009,29,Fairfax County,13291,90.36%,6.26%,,60593.0,62458.0,3.08
29,2009,30,Fauquier County,969,88.13%,4.95%,53179.0,53055.0,55179.0,4.0
30,2009,31,Floyd County,154,88.96%,11.04%,29246.0,41891.0,41896.0,0.01
31,2009,32,Fluvanna County,286,88.46%,5.59%,34121.0,49313.0,50991.0,3.4
32,2009,33,Franklin County,579,80.14%,12.09%,,43549.0,43837.0,0.66
33,2009,34,Frederick County,1045,83.92%,6.51%,37658.0,45481.0,47085.0,3.53
34,2009,35,Giles County,186,78.49%,12.37%,30249.0,39804.0,40903.0,2.76
35,2009,36,Gloucester County,517,77.37%,11.03%,40091.0,44543.0,45857.0,2.95
36,2009,37,Goochland County,198,84.34%,7.07%,65674.0,42544.0,45358.0,6.62
37,2009,38,Grayson County,197,82.74%,9.14%,26134.0,36708.0,37108.0,1.09
38,2009,39,Greene County,232,90.52%,6.03%,32626.0,39212.0,36056.0,-8.05
39,2009,40,Greensville County,205,77.07%,20.00%,25668.0,42103.0,43318.0,2.89
40,2009,41,Halifax County,527,82.54%,3.23%,28451.0,39665.0,40518.0,2.15
41,2009,42,Hanover County,1629,92.27%,3.62%,43550.0,44609.0,45002.0,0.88
42,2009,43,Henrico County,3916,81.05%,10.21%,44970.0,46833.0,48776.0,4.15
43,2009,44,Henry County,652,81.29%,12.27%,29319.0,38302.0,40181.0,4.91
44,2009,45,Highland County,29,96.55%,3.45%,31869.0,41206.0,40337.0,-2.11
45,2009,46,Isle of Wight County,476,83.61%,11.34%,44438.0,45989.0,49741.0,8.16
46,2009,48,King George County,321,84.42%,10.90%,42953.0,44936.0,46172.0,2.75
47,2009,49,King and Queen County,68,85.29%,13.24%,33510.0,40744.0,42565.0,4.47
48,2009,50,King William County,151,90.07%,7.28%,36478.0,42471.0,45314.0,6.69
49,2009,51,Lancaster County,122,82.79%,10.66%,43315.0,42559.0,44186.0,3.82
50,2009,52,Lee County,278,65.47%,21.58%,25412.0,41701.0,40867.0,-2.0
51,2009,53,Loudoun County,3660,93.69%,3.91%,61423.0,60476.0,57518.0,-4.89
52,2009,54,Louisa County,400,87.50%,9.75%,34267.0,47347.0,48304.0,2.02
53,2009,55,Lunenburg County,123,79.67%,18.70%,25477.0,42647.0,40124.0,-5.92
54,2009,56,Madison County,173,84.39%,8.67%,32246.0,42577.0,44253.0,3.94
55,2009,57,Mathews County,131,85.50%,7.63%,44819.0,41041.0,39263.0,-4.33
56,2009,58,Mecklenburg County,392,88.78%,8.42%,28491.0,40432.0,40632.0,0.5
57,2009,59,Middlesex County,133,84.96%,9.02%,37983.0,38979.0,39666.0,1.76
58,2009,60,Montgomery County,756,79.37%,14.29%,28427.0,42182.0,43672.0,3.53
59,2009,62,Nelson County,155,78.71%,7.10%,35890.0,42627.0,44422.0,4.21
60,2009,63,New Kent County,218,86.70%,5.96%,52807.0,41188.0,43297.0,5.12
61,2009,65,Northampton County,158,77.85%,10.13%,36309.0,42670.0,38407.0,-9.99
62,2009,66,Northumberland County,126,75.40%,17.46%,35983.0,46644.0,47263.0,1.33
63,2009,67,Nottoway County,190,80.00%,12.63%,29273.0,39961.0,42025.0,5.16
64,2009,68,Orange County,385,91.17%,2.86%,36862.0,43133.0,41800.0,-3.09
65,2009,69,Page County,314,84.08%,4.78%,29375.0,41602.0,43956.0,5.66
66,2009,70,Patrick County,221,88.69%,4.98%,25753.0,39783.0,40120.0,0.85
67,2009,71,Pittsylvania County,773,83.57%,11.77%,28406.0,41202.0,40924.0,-0.67
68,2009,72,Powhatan County,342,88.60%,5.56%,38750.0,45078.0,45637.0,1.24
69,2009,73,Prince Edward County,189,78.31%,15.34%,23760.0,42599.0,43507.0,2.13
70,2009,74,Prince George County,501,81.04%,11.78%,31381.0,45720.0,46996.0,2.79
71,2009,75,Prince William County,5488,84.24%,9.06%,,58351.0,59656.0,2.24
72,2009,77,Pulaski County,420,84.76%,9.29%,29766.0,38890.0,42876.0,10.25
73,2009,78,Rappahannock County,94,92.55%,6.38%,49253.0,43490.0,45312.0,4.19
74,2009,79,Richmond County,102,88.24%,6.86%,26676.0,44150.0,45242.0,2.47
75,2009,80,Roanoke County,1286,89.81%,6.07%,41467.0,46734.0,47698.0,2.06
76,2009,81,Rockbridge County,309,70.87%,16.50%,,40043.0,40621.0,1.44
77,2009,82,Rockingham County,955,87.54%,7.02%,29447.0,43154.0,44484.0,3.08
78,2009,83,Russell County,327,85.63%,7.34%,28383.0,36054.0,37006.0,2.64
79,2009,84,Scott County,294,92.52%,4.08%,26266.0,41271.0,43542.0,5.5
80,2009,85,Shenandoah County,500,86.40%,6.60%,32506.0,44284.0,44835.0,1.25
81,2009,86,Smyth County,442,84.39%,7.69%,27667.0,36969.0,42986.0,16.27
82,2009,87,Southampton County,225,80.00%,15.11%,30827.0,42082.0,43078.0,2.37
83,2009,88,Spotsylvania County,1961,80.72%,7.65%,40817.0,49414.0,52291.0,5.82
84,2009,89,Stafford County,2186,88.70%,5.95%,45692.0,51383.0,52251.0,1.69
85,2009,90,Surry County,85,72.94%,17.65%,33815.0,44351.0,44646.0,0.67
86,2009,91,Sussex County,146,69.86%,14.38%,26201.0,44553.0,45520.0,2.17
87,2009,92,Tazewell County,538,75.65%,13.01%,31231.0,39944.0,45520.0,13.96
88,2009,93,Warren County,450,88.44%,6.00%,35760.0,43361.0,43822.0,1.06
89,2009,94,Washington County,605,87.11%,4.96%,34833.0,41560.0,42599.0,2.5
90,2009,95,Westmoreland County,149,76.51%,9.40%,32952.0,42707.0,43386.0,1.59
91,2009,96,Wise County,514,84.24%,9.34%,28556.0,42253.0,44130.0,4.44
92,2009,97,Wythe County,359,81.89%,4.74%,28618.0,41164.0,42717.0,3.77
93,2009,98,York County,1089,92.56%,3.40%,46890.0,46925.0,48136.0,2.58
94,2009,101,Alexandria City,778,77.76%,14.40%,,65202.0,68315.0,4.77
95,2009,102,Bristol City,191,79.06%,13.09%,34833.0,43373.0,43607.0,0.54
96,2009,103,Buena Vista City,84,83.33%,5.95%,,43262.0,42461.0,-1.85
97,2009,104,Charlottesville City,316,76.58%,14.56%,48606.0,50325.0,52985.0,5.29
98,2009,106,Colonial Heights City,234,86.32%,7.26%,,47838.0,50158.0,4.85
99,2009,107,Covington City,75,69.33%,18.67%,31000.0,44640.0,44710.0,0.16
100,2009,108,Danville City,533,77.67%,11.82%,28406.0,43283.0,44196.0,2.11
101,2009,109,Falls Church City,160,96.25%,.63%,,61887.0,62875.0,1.6
102,2009,110,Fredericksburg City,258,72.87%,21.32%,,44509.0,46786.0,5.12
103,2009,111,Galax City,92,84.78%,10.87%,27920.0,41090.0,42162.0,2.61
104,2009,112,Hampton City,1839,75.58%,12.62%,,37594.0,38320.0,1.93
105,2009,113,Harrisonburg City,346,80.64%,9.54%,29447.0,45195.0,45659.0,1.03
106,2009,114,Hopewell City,331,60.73%,24.47%,31381.0,42378.0,44687.0,5.45
107,2009,115,Lynchburg City,685,75.18%,14.31%,30882.0,44702.0,44858.0,0.35
108,2009,116,Martinsville City,215,85.12%,7.44%,29319.0,34465.0,44312.0,28.57
109,2009,117,Newport News City,2516,74.44%,13.04%,,44735.0,45510.0,1.73
110,2009,118,Norfolk City,2148,73.51%,14.99%,,45288.0,46161.0,1.93
111,2009,119,Norton City,72,87.50%,11.11%,28556.0,43339.0,44663.0,3.05
112,2009,120,Petersburg City,420,61.43%,25.95%,,38998.0,40797.0,4.61
113,2009,121,Portsmouth City,1335,62.85%,25.69%,,34924.0,36924.0,5.73
114,2009,122,Radford City,125,84.00%,8.00%,28427.0,45498.0,46423.0,2.03
115,2009,123,Richmond City,1583,68.67%,21.29%,,46845.0,48668.0,3.89
116,2009,124,Roanoke City,992,66.63%,20.36%,,47392.0,47244.0,-0.31
117,2009,126,Staunton City,228,76.75%,8.33%,,41087.0,42661.0,3.83
118,2009,127,Suffolk City,1145,77.73%,15.02%,,47447.0,48129.0,1.44
119,2009,128,Virginia Beach City,5630,85.31%,6.94%,,51102.0,52407.0,2.55
120,2009,130,Waynesboro City,218,80.73%,7.34%,,44056.0,45476.0,3.22
121,2009,131,Williamsburg-James City County,848,82.55%,9.08%,,52367.0,52545.0,0.34
122,2009,132,Winchester City,346,82.95%,12.14%,37658.0,45850.0,48498.0,5.77
123,2009,135,Franklin City,138,71.01%,19.57%,,43610.0,44938.0,3.05
124,2009,136,Chesapeake City,3498,86.45%,8.55%,,51348.0,52885.0,2.99
125,2009,139,Salem City,316,88.29%,5.38%,41467.0,51211.0,52085.0,1.71
126,2009,142,Poquoson City,240,91.67%,5.00%,46890.0,43809.0,46574.0,6.31
127,2009,143,Manassas City,474,73.00%,16.03%,,59709.0,60455.0,1.25
128,2009,144,Manassas Park City,155,81.29%,9.68%,,58247.0,60417.0,3.73
129,2009,202,Colonial Beach,50,74.00%,8.00%,,39792.0,41032.0,3.12
130,2009,207,West Point,54,94.44%,1.85%,,41071.0,41731.0,1.61
0,2019,1,Accomack County,400,91.75%,7.50%,42923.0,47512.0,47296.0,-0.45
1,2019,2,Albemarle County,1082,94.36%,4.07%,77657.0,55707.0,58796.0,5.55
2,2019,3,Alleghany County,189,93.65%,3.17%,40928.0,48802.0,47800.0,-2.05
3,2019,4,Amelia County,143,97.20%,2.80%,44297.0,50012.0,48872.0,-2.28
4,2019,5,Amherst County,289,86.16%,6.92%,38165.0,45675.0,44880.0,-1.74
5,2019,6,Appomattox County,192,93.23%,3.65%,39268.0,40531.0,44832.0,10.61
6,2019,7,Arlington County,1769,92.48%,5.60%,99407.0,78617.0,80778.0,2.75
7,2019,8,Augusta County,793,92.81%,2.65%,,49210.0,49746.0,1.09
8,2019,9,Bath County,48,87.50%,6.25%,66864.0,47828.0,48565.0,1.54
9,2019,10,Bedford County,802,90.77%,5.11%,47590.0,43784.0,45810.0,4.63
10,2019,11,Bland County,75,93.33%,5.33%,38126.0,46839.0,43339.0,-7.47
11,2019,12,Botetourt County,385,95.32%,2.86%,51738.0,53292.0,53995.0,1.32
12,2019,13,Brunswick County,130,80.00%,12.31%,33784.0,40655.0,43491.0,6.98
13,2019,14,Buchanan County,222,86.94%,5.86%,37048.0,43750.0,44366.0,1.41
14,2019,15,Buckingham County,128,93.75%,4.69%,30966.0,45461.0,49318.0,8.48
15,2019,16,Campbell County,643,91.45%,3.27%,38565.0,45118.0,46521.0,3.11
16,2019,17,Caroline County,301,93.02%,3.99%,42977.0,48486.0,47118.0,-2.82
17,2019,18,Carroll County,282,90.07%,6.38%,36812.0,46844.0,49280.0,5.2
18,2019,19,Charles City County,42,100.00%,.00%,46976.0,45142.0,47556.0,5.35
19,2019,20,Charlotte County,136,89.71%,5.88%,,47306.0,49153.0,3.9
20,2019,21,Chesterfield County,5078,90.71%,6.66%,55070.0,48696.0,49174.0,0.98
21,2019,22,Clarke County,180,98.33%,.00%,67094.0,47252.0,51788.0,9.6
22,2019,23,Craig County,64,85.94%,3.13%,39087.0,42702.0,42706.0,0.01
23,2019,24,Culpeper County,639,88.89%,7.67%,47689.0,50069.0,50443.0,0.75
24,2019,25,Cumberland County,120,92.50%,3.33%,39094.0,47055.0,48118.0,2.26
25,2019,26,Dickenson County,146,94.52%,3.42%,34397.0,39099.0,39950.0,2.18
26,2019,27,Dinwiddie County,325,85.85%,4.62%,,51589.0,53413.0,3.54
27,2019,28,Essex County,93,90.32%,5.38%,43041.0,47171.0,46841.0,-0.7
28,2019,29,Fairfax County,14957,91.25%,7.31%,,68883.0,71076.0,3.18
29,2019,30,Fauquier County,982,94.20%,2.34%,72577.0,54371.0,54361.0,-0.02
30,2019,31,Floyd County,158,98.73%,1.27%,40065.0,44563.0,46154.0,3.57
31,2019,32,Fluvanna County,274,93.80%,1.82%,45334.0,52651.0,51751.0,-1.71
32,2019,33,Franklin County,563,90.59%,8.70%,,49217.0,49378.0,0.33
33,2019,34,Frederick County,1039,92.78%,3.66%,52317.0,54180.0,54805.0,1.15
34,2019,35,Giles County,220,90.91%,3.18%,41179.0,42168.0,42386.0,0.52
35,2019,36,Gloucester County,384,92.71%,3.13%,51847.0,51145.0,49844.0,-2.54
36,2019,37,Goochland County,228,96.49%,2.19%,102690.0,48912.0,50127.0,2.48
37,2019,38,Grayson County,110,98.18%,.91%,33190.0,39297.0,37945.0,-3.44
38,2019,39,Greene County,223,92.38%,1.79%,46529.0,49567.0,50454.0,1.79
39,2019,40,Greensville County,186,87.10%,9.14%,33144.0,48915.0,48941.0,0.05
40,2019,41,Halifax County,356,93.26%,4.78%,38414.0,39840.0,40725.0,2.22
41,2019,42,Hanover County,1482,95.07%,2.29%,61832.0,56106.0,58183.0,3.7
42,2019,43,Henrico County,3990,90.78%,6.67%,68639.0,50743.0,51270.0,1.04
43,2019,44,Henry County,541,89.83%,6.47%,40545.0,46714.0,47310.0,1.28
44,2019,45,Highland County,14,100.00%,.00%,44791.0,51690.0,49637.0,-3.97
45,2019,46,Isle of Wight County,456,92.76%,4.39%,57645.0,54358.0,53377.0,-1.8
46,2019,48,King George County,305,94.10%,2.95%,53777.0,51849.0,52489.0,1.23
47,2019,49,King and Queen County,34,94.12%,.00%,44798.0,48253.0,47157.0,-2.27
48,2019,50,King William County,173,94.80%,2.89%,47802.0,49969.0,49268.0,-1.4
49,2019,51,Lancaster County,99,83.84%,9.09%,61447.0,49563.0,52035.0,4.99
50,2019,52,Lee County,243,85.19%,9.05%,31087.0,45631.0,47791.0,4.73
51,2019,53,Loudoun County,6069,94.68%,3.28%,80914.0,65678.0,69021.0,5.09
52,2019,54,Louisa County,350,91.43%,2.29%,42723.0,52874.0,53508.0,1.2
53,2019,55,Lunenburg County,110,90.91%,4.55%,33996.0,43697.0,44096.0,0.91
