Unnamed: 0,Cohort Year,Students in Cohort,Division,Division Name,Graduation Rate,Dropout Rate,Prev_year_salary,Curr_year_salary,salary_diff,FY 2006 to FY 2007 Percent Increase/ (Decrease),FY 2007 to FY 2008 Percent Increase/ (Decrease),Index,Mean Income,FY 2013 to FY 2014 Percent Increase/ (Decrease),FY 2012 to FY 2013 Percent Increase/ (Decrease),FY 2014 to FY 2015 Percent Increase/ (Decrease),FY 2011 to FY 2012 Percent Increase/ (Decrease),FY 2010 to FY 2011 Percent Increase/ (Decrease),FY 2008 to FY 2009 Percent Increase/ (Decrease),FY 2009 to FY 2010 Percent Increase/ (Decrease),cohort_year,division,division_name,graduation_rate,dropout_rate,income_per_capita
15.0,2008.0,760,16.0,Campbell County,76.97%,11.97%,31717.0,39663.0,41324.0,4.19,,,,,,,,,,,,,,,,
16.0,2008.0,310,17.0,Caroline County,75.16%,11.61%,33535.0,41935.0,43807.0,4.46,,,,,,,,,,,,,,,,
17.0,2008.0,338,18.0,Carroll County,81.36%,11.24%,27602.0,36885.0,37024.0,0.38,,,,,,,,,,,,,,,,
18.0,2008.0,73,19.0,Charles City County,89.04%,9.59%,32972.0,39530.0,40530.0,2.53,,,,,,,,,,,,,,,,
19.0,2008.0,205,20.0,Charlotte County,84.39%,5.85%,,39042.0,40530.0,3.81,,,,,,,,,,,,,,,,
20.0,2008.0,"4,797",21.0,Chesterfield County,84.72%,11.82%,43623.0,44417.0,46486.0,4.66,,,,,,,,,,,,,,,,
21.0,2008.0,170,22.0,Clarke County,90.00%,7.65%,48673.0,45817.0,46433.0,1.34,,,,,,,,,,,,,,,,
22.0,2008.0,60,23.0,Craig County,78.33%,13.33%,29252.0,40621.0,43279.0,6.54,,,,,,,,,,,,,,,,
23.0,2008.0,610,24.0,Culpeper County,81.15%,10.00%,36254.0,41405.0,44565.0,7.63,,,,,,,,,,,,,,,,
24.0,2008.0,110,25.0,Cumberland County,82.73%,12.73%,27534.0,39380.0,39714.0,0.85,,,,,,,,,,,,,,,,
25.0,2008.0,227,26.0,Dickenson County,87.67%,7.49%,25845.0,35742.0,37146.0,3.93,,,,,,,,,,,,,,,,
26.0,2008.0,414,27.0,Dinwiddie County,68.36%,15.22%,,42866.0,44461.0,3.72,,,,,,,,,,,,,,,,
27.0,2008.0,137,28.0,Essex County,81.75%,5.84%,34095.0,42583.0,44821.0,5.26,,,,,,,,,,,,,,,,
28.0,2008.0,"12,467",29.0,Fairfax County,91.19%,6.08%,,58389.0,60593.0,3.77,,,,,,,,,,,,,,,,
29.0,2008.0,925,30.0,Fauquier County,86.92%,5.51%,55475.0,49595.0,53055.0,6.98,,,,,,,,,,,,,,,,
30.0,2008.0,178,31.0,Floyd County,83.15%,11.80%,29005.0,39871.0,41891.0,5.07,,,,,,,,,,,,,,,,
31.0,2008.0,291,32.0,Fluvanna County,90.03%,6.53%,34611.0,46405.0,49313.0,6.27,,,,,,,,,,,,,,,,
32.0,2008.0,"1,069",34.0,Frederick County,83.35%,7.11%,39057.0,42960.0,45481.0,5.87,,,,,,,,,,,,,,,,
33.0,2008.0,230,35.0,Giles County,77.39%,14.78%,30351.0,38871.0,39804.0,2.4,,,,,,,,,,,,,,,,
34.0,2008.0,509,36.0,Gloucester County,78.59%,9.23%,40206.0,42925.0,44543.0,3.77,,,,,,,,,,,,,,,,
35.0,2008.0,220,37.0,Goochland County,80.91%,7.73%,69605.0,41778.0,42544.0,1.83,,,,,,,,,,,,,,,,
36.0,2008.0,203,38.0,Grayson County,83.74%,9.36%,26014.0,34470.0,36708.0,6.49,,,,,,,,,,,,,,,,
37.0,2008.0,224,39.0,Greene County,82.59%,11.61%,32492.0,37478.0,39212.0,4.63,,,,,,,,,,,,,,,,
38.0,2008.0,228,40.0,Greensville County,81.58%,14.04%,26044.0,42113.0,42103.0,-0.02,,,,,,,,,,,,,,,,
39.0,2008.0,433,41.0,Halifax County,81.99%,6.00%,28286.0,38104.0,39665.0,4.1,,,,,,,,,,,,,,,,
40.0,2008.0,"1,548",42.0,Hanover County,91.73%,4.33%,45317.0,42733.0,44609.0,4.39,,,,,,,,,,,,,,,,
41.0,2008.0,"3,899",43.0,Henrico County,81.97%,9.36%,47962.0,45085.0,46833.0,3.88,,,,,,,,,,,,,,,,
42.0,2008.0,691,44.0,Henry County,75.25%,16.21%,29638.0,37720.0,38302.0,1.54,,,,,,,,,,,,,,,,
43.0,2008.0,26,45.0,Highland County,96.15%,.00%,31340.0,37795.0,41206.0,9.03,,,,,,,,,,,,,,,,
44.0,2008.0,460,46.0,Isle of Wight County,80.43%,17.17%,44430.0,41298.0,45989.0,11.36,,,,,,,,,,,,,,,,
45.0,2008.0,298,48.0,King George County,88.26%,9.06%,42910.0,42217.0,44936.0,6.44,,,,,,,,,,,,,,,,
46.0,2008.0,58,49.0,King and Queen County,60.34%,31.03%,33067.0,38803.0,40744.0,5.0,,,,,,,,,,,,,,,,
47.0,2008.0,161,50.0,King William County,92.55%,6.83%,38325.0,42664.0,42471.0,-0.45,,,,,,,,,,,,,,,,
48.0,2008.0,125,51.0,Lancaster County,88.00%,5.60%,46008.0,39156.0,42559.0,8.69,,,,,,,,,,,,,,,,
49.0,2008.0,304,52.0,Lee County,64.47%,29.61%,25031.0,40620.0,41701.0,2.66,,,,,,,,,,,,,,,,
50.0,2008.0,"3,421",53.0,Loudoun County,93.57%,3.71%,62953.0,59819.0,60476.0,1.1,,,,,,,,,,,,,,,,
51.0,2008.0,365,54.0,Louisa County,81.92%,14.25%,35294.0,39010.0,47347.0,21.37,,,,,,,,,,,,,,,,
52.0,2008.0,152,55.0,Lunenburg County,74.34%,21.71%,24944.0,40309.0,42647.0,5.8,,,,,,,,,,,,,,,,
53.0,2008.0,188,56.0,Madison County,84.04%,8.51%,32892.0,40495.0,42577.0,5.14,,,,,,,,,,,,,,,,
54.0,2008.0,102,57.0,Mathews County,87.25%,3.92%,45413.0,38693.0,41041.0,6.07,,,,,,,,,,,,,,,,
55.0,2008.0,399,58.0,Mecklenburg County,82.46%,15.79%,27922.0,38429.0,40432.0,5.21,,,,,,,,,,,,,,,,
56.0,2008.0,117,59.0,Middlesex County,82.91%,10.26%,39181.0,37404.0,38979.0,4.21,,,,,,,,,,,,,,,,
57.0,2008.0,816,60.0,Montgomery County,80.27%,13.11%,28151.0,40330.0,42182.0,4.59,,,,,,,,,,,,,,,,
58.0,2008.0,186,62.0,Nelson County,80.11%,5.91%,35810.0,40848.0,42627.0,4.35,,,,,,,,,,,,,,,,
59.0,2008.0,225,63.0,New Kent County,80.00%,14.67%,50539.0,39887.0,41188.0,3.26,,,,,,,,,,,,,,,,
60.0,2008.0,210,65.0,Northampton County,73.81%,15.24%,35341.0,39429.0,42670.0,8.22,,,,,,,,,,,,,,,,
61.0,2008.0,141,66.0,Northumberland County,80.85%,9.93%,36305.0,44365.0,46644.0,5.14,,,,,,,,,,,,,,,,
62.0,2008.0,192,67.0,Nottoway County,76.56%,15.63%,29935.0,40033.0,39961.0,-0.18,,,,,,,,,,,,,,,,
63.0,2008.0,412,68.0,Orange County,85.44%,9.71%,36599.0,41882.0,43133.0,2.99,,,,,,,,,,,,,,,,
64.0,2008.0,281,69.0,Page County,80.43%,7.47%,29408.0,40043.0,41602.0,3.89,,,,,,,,,,,,,,,,
65.0,2008.0,221,70.0,Patrick County,85.52%,4.98%,25645.0,38081.0,39783.0,4.47,,,,,,,,,,,,,,,,
66.0,2008.0,842,71.0,Pittsylvania County,82.07%,14.85%,28046.0,38968.0,41202.0,5.73,,,,,,,,,,,,,,,,
67.0,2008.0,305,72.0,Powhatan County,90.49%,3.93%,40335.0,41523.0,45078.0,8.56,,,,,,,,,,,,,,,,
68.0,2008.0,223,73.0,Prince Edward County,78.48%,13.90%,23896.0,41459.0,42599.0,2.75,,,,,,,,,,,,,,,,
69.0,2008.0,499,74.0,Prince George County,77.96%,17.84%,32140.0,44529.0,45720.0,2.67,,,,,,,,,,,,,,,,
70.0,2008.0,"5,055",75.0,Prince William County,83.20%,10.17%,,54915.0,58351.0,6.26,,,,,,,,,,,,,,,,
71.0,2008.0,433,77.0,Pulaski County,77.37%,10.16%,30240.0,37701.0,38890.0,3.15,,,,,,,,,,,,,,,,
72.0,2008.0,90,78.0,Rappahannock County,87.78%,7.78%,50867.0,43373.0,43490.0,0.27,,,,,,,,,,,,,,,,
73.0,2008.0,89,79.0,Richmond County,82.02%,12.36%,26549.0,42870.0,44150.0,2.99,,,,,,,,,,,,,,,,
74.0,2008.0,"1,223",80.0,Roanoke County,89.78%,4.42%,42235.0,45891.0,46734.0,1.84,,,,,,,,,,,,,,,,
75.0,2008.0,275,81.0,Rockbridge County,74.91%,9.82%,,38168.0,40043.0,4.91,,,,,,,,,,,,,,,,
76.0,2008.0,896,82.0,Rockingham County,88.95%,6.25%,30321.0,41390.0,43154.0,4.26,,,,,,,,,,,,,,,,
77.0,2008.0,364,83.0,Russell County,85.71%,6.59%,28100.0,35479.0,36054.0,1.62,,,,,,,,,,,,,,,,
78.0,2008.0,297,84.0,Scott County,90.57%,4.38%,26737.0,40877.0,41271.0,0.96,,,,,,,,,,,,,,,,
79.0,2008.0,516,85.0,Shenandoah County,85.66%,9.88%,33167.0,42805.0,44284.0,3.46,,,,,,,,,,,,,,,,
80.0,2008.0,410,86.0,Smyth County,83.41%,8.78%,27572.0,37211.0,36969.0,-0.65,,,,,,,,,,,,,,,,
81.0,2008.0,235,87.0,Southampton County,74.89%,15.32%,30794.0,40444.0,42082.0,4.05,,,,,,,,,,,,,,,,
82.0,2008.0,"1,864",88.0,Spotsylvania County,80.15%,8.64%,40496.0,46496.0,49414.0,6.28,,,,,,,,,,,,,,,,
83.0,2008.0,"2,212",89.0,Stafford County,86.53%,7.78%,45004.0,49068.0,51383.0,4.72,,,,,,,,,,,,,,,,
84.0,2008.0,76,90.0,Surry County,86.84%,11.84%,33487.0,44663.0,44351.0,-0.7,,,,,,,,,,,,,,,,
85.0,2008.0,142,91.0,Sussex County,73.24%,15.49%,26316.0,44115.0,44553.0,0.99,,,,,,,,,,,,,,,,
86.0,2008.0,523,92.0,Tazewell County,75.53%,13.00%,31319.0,39337.0,39944.0,1.55,,,,,,,,,,,,,,,,
87.0,2008.0,456,93.0,Warren County,84.87%,7.46%,36277.0,42427.0,43361.0,2.2,,,,,,,,,,,,,,,,
88.0,2008.0,636,94.0,Washington County,83.96%,6.76%,36944.0,38215.0,41560.0,8.75,,,,,,,,,,,,,,,,
89.0,2008.0,160,95.0,Westmoreland County,77.50%,10.00%,32996.0,40581.0,42707.0,5.24,,,,,,,,,,,,,,,,
90.0,2008.0,518,96.0,Wise County,83.01%,12.36%,27503.0,40831.0,42253.0,3.48,,,,,,,,,,,,,,,,
91.0,2008.0,328,97.0,Wythe County,83.84%,7.32%,29392.0,39026.0,41164.0,5.48,,,,,,,,,,,,,,,,
92.0,2008.0,"1,134",98.0,York County,86.33%,3.88%,47798.0,46391.0,46925.0,1.15,,,,,,,,,,,,,,,,
93.0,2008.0,710,101.0,Alexandria City,76.62%,14.79%,,61000.0,65202.0,6.89,,,,,,,,,,,,,,,,
94.0,2008.0,195,102.0,Bristol City,77.44%,11.79%,36944.0,43619.0,43373.0,-0.57,,,,,,,,,,,,,,,,
95.0,2008.0,98,103.0,Buena Vista City,78.57%,11.22%,,42425.0,43262.0,1.97,,,,,,,,,,,,,,,,
96.0,2008.0,319,104.0,Charlottesville City,74.61%,17.87%,51484.0,48037.0,50325.0,4.76,,,,,,,,,,,,,,,,
97.0,2008.0,231,106.0,Colonial Heights City,72.73%,22.51%,,48999.0,47838.0,-2.37,,,,,,,,,,,,,,,,
98.0,2008.0,91,107.0,Covington City,73.63%,18.68%,31590.0,47465.0,44640.0,-5.95,,,,,,,,,,,,,,,,
99.0,2008.0,563,108.0,Danville City,74.25%,12.61%,28046.0,40064.0,43283.0,8.03,,,,,,,,,,,,,,,,
100.0,2008.0,167,109.0,Falls Church City,97.01%,.00%,,57607.0,61887.0,7.43,,,,,,,,,,,,,,,,
101.0,2008.0,223,110.0,Fredericksburg City,75.78%,12.11%,,44864.0,44509.0,-0.79,,,,,,,,,,,,,,,,
102.0,2008.0,79,111.0,Galax City,92.41%,5.06%,27602.0,41001.0,41090.0,0.22,,,,,,,,,,,,,,,,
103.0,2008.0,"1,936",112.0,Hampton City,71.95%,14.10%,,37507.0,37594.0,0.23,,,,,,,,,,,,,,,,
104.0,2008.0,386,113.0,Harrisonburg City,72.80%,16.58%,30321.0,43074.0,45195.0,4.92,,,,,,,,,,,,,,,,
105.0,2008.0,307,114.0,Hopewell City,58.31%,31.60%,32140.0,42351.0,42378.0,0.07,,,,,,,,,,,,,,,,
106.0,2008.0,707,115.0,Lynchburg City,73.83%,13.58%,31717.0,41209.0,44702.0,8.48,,,,,,,,,,,,,,,,
107.0,2008.0,248,116.0,Martinsville City,80.24%,14.11%,29638.0,45509.0,34465.0,-24.27,,,,,,,,,,,,,,,,
108.0,2008.0,"2,471",117.0,Newport News City,72.80%,14.29%,,43812.0,44735.0,2.11,,,,,,,,,,,,,,,,
109.0,2008.0,"1,997",118.0,Norfolk City,73.21%,15.92%,,44165.0,45288.0,2.54,,,,,,,,,,,,,,,,
110.0,2008.0,56,119.0,Norton City,83.93%,14.29%,27503.0,41518.0,43339.0,4.39,,,,,,,,,,,,,,,,
111.0,2008.0,445,120.0,Petersburg City,58.20%,33.48%,,38252.0,38998.0,1.95,,,,,,,,,,,,,,,,
112.0,2008.0,"1,173",121.0,Portsmouth City,60.70%,26.77%,,32903.0,34924.0,6.14,,,,,,,,,,,,,,,,
113.0,2008.0,128,122.0,Radford City,85.94%,3.91%,28151.0,44199.0,45498.0,2.94,,,,,,,,,,,,,,,,
114.0,2008.0,"1,749",123.0,Richmond City,65.64%,24.76%,,45873.0,46845.0,2.12,,,,,,,,,,,,,,,,
115.0,2008.0,916,124.0,Roanoke City,59.06%,23.58%,,45920.0,47392.0,3.2,,,,,,,,,,,,,,,,
116.0,2008.0,221,126.0,Staunton City,81.00%,8.14%,,38857.0,41087.0,5.74,,,,,,,,,,,,,,,,
117.0,2008.0,"1,106",127.0,Suffolk City,72.15%,22.42%,,44844.0,47447.0,5.81,,,,,,,,,,,,,,,,
118.0,2008.0,"5,666",128.0,Virginia Beach City,84.17%,7.01%,,47928.0,51102.0,6.62,,,,,,,,,,,,,,,,
119.0,2008.0,241,130.0,Waynesboro City,80.91%,8.71%,,43260.0,44056.0,1.84,,,,,,,,,,,,,,,,
120.0,2008.0,922,131.0,Williamsburg-James City County,79.72%,10.09%,,50831.0,52367.0,3.02,,,,,,,,,,,,,,,,
121.0,2008.0,298,132.0,Winchester City,76.17%,12.42%,39057.0,45022.0,45850.0,1.84,,,,,,,,,,,,,,,,
122.0,2008.0,116,135.0,Franklin City,63.79%,25.00%,,43176.0,43610.0,1.0,,,,,,,,,,,,,,,,
123.0,2008.0,"3,295",136.0,Chesapeake City,87.62%,8.80%,,49005.0,51348.0,4.78,,,,,,,,,,,,,,,,
124.0,2008.0,330,139.0,Salem City,85.76%,6.67%,42235.0,49864.0,51211.0,2.7,,,,,,,,,,,,,,,,
125.0,2008.0,208,142.0,Poquoson City,94.71%,.96%,47798.0,43972.0,43809.0,-0.37,,,,,,,,,,,,,,,,
126.0,2008.0,528,143.0,Manassas City,73.67%,13.26%,,55744.0,59709.0,7.11,,,,,,,,,,,,,,,,
127.0,2008.0,141,144.0,Manassas Park City,85.11%,10.64%,,53649.0,58247.0,8.57,,,,,,,,,,,,,,,,
128.0,2008.0,58,202.0,Colonial Beach,86.21%,6.90%,,39867.0,39792.0,-0.19,,,,,,,,,,,,,,,,
129.0,2008.0,67,207.0,West Point,94.03%,4.48%,,40797.0,41071.0,0.67,,,,,,,,,,,,,,,,
0.0,2009.0,472,1.0,Accomack County,69.92%,23.73%,32690.0,39973.0,39576.0,,-0.99,,,,,,,,,,,,,,,
1.0,2009.0,"1,056",2.0,Albemarle County,89.49%,6.16%,48606.0,49580.0,51223.0,,3.32,,,,,,,,,,,,,,,
2.0,2009.0,204,3.0,Alleghany County,85.29%,9.31%,31000.0,44095.0,45580.0,,3.37,,,,,,,,,,,,,,,
3.0,2009.0,161,4.0,Amelia County,83.23%,8.70%,32116.0,40442.0,44349.0,,9.66,,,,,,,,,,,,,,,
4.0,2009.0,420,5.0,Amherst County,81.90%,10.71%,29736.0,41935.0,42816.0,,2.1,,,,,,,,,,,,,,,
5.0,2009.0,175,6.0,Appomattox County,81.71%,9.71%,31099.0,38755.0,41028.0,,5.87,,,,,,,,,,,,,,,
6.0,2009.0,"1,320",7.0,Arlington County,84.47%,11.89%,74532.0,64447.0,67742.0,,5.11,,,,,,,,,,,,,,,
7.0,2009.0,942,8.0,Augusta County,82.38%,13.91%,,43075.0,44062.0,,2.29,,,,,,,,,,,,,,,
8.0,2009.0,64,9.0,Bath County,85.94%,10.94%,36004.0,42259.0,42037.0,,-0.52,,,,,,,,,,,,,,,
9.0,2009.0,931,10.0,Bedford County,87.54%,5.59%,36006.0,39694.0,40827.0,,2.85,,,,,,,,,,,,,,,
10.0,2009.0,89,11.0,Bland County,87.64%,3.37%,27560.0,37863.0,39761.0,,5.01,,,,,,,,,,,,,,,
11.0,2009.0,398,12.0,Botetourt County,85.18%,7.79%,39117.0,46561.0,47904.0,,2.89,,,,,,,,,,,,,,,
12.0,2009.0,146,13.0,Brunswick County,80.82%,9.59%,26804.0,37843.0,38596.0,,1.99,,,,,,,,,,,,,,,
13.0,2009.0,252,14.0,Buchanan County,82.54%,11.90%,29166.0,38686.0,39521.0,,2.16,,,,,,,,,,,,,,,
14.0,2009.0,187,15.0,Buckingham County,72.19%,17.65%,23239.0,39827.0,42097.0,,5.7,,,,,,,,,,,,,,,
15.0,2009.0,740,16.0,Campbell County,78.51%,9.73%,30882.0,41324.0,42204.0,,2.13,,,,,,,,,,,,,,,
16.0,2009.0,329,17.0,Caroline County,75.38%,14.29%,33454.0,43807.0,43301.0,,-1.15,,,,,,,,,,,,,,,
17.0,2009.0,311,18.0,Carroll County,84.89%,9.97%,27920.0,37024.0,36938.0,,-0.23,,,,,,,,,,,,,,,
18.0,2009.0,68,19.0,Charles City County,94.12%,2.94%,32708.0,40530.0,38511.0,,-4.98,,,,,,,,,,,,,,,
19.0,2009.0,179,20.0,Charlotte County,86.03%,7.26%,,40530.0,42040.0,,3.73,,,,,,,,,,,,,,,
20.0,2009.0,"4,871",21.0,Chesterfield County,85.88%,10.10%,41995.0,46486.0,48180.0,,3.64,,,,,,,,,,,,,,,
21.0,2009.0,191,22.0,Clarke County,95.29%,2.09%,49672.0,46433.0,45402.0,,-2.22,,,,,,,,,,,,,,,
22.0,2009.0,58,23.0,Craig County,81.03%,13.79%,28845.0,43279.0,42430.0,,-1.96,,,,,,,,,,,,,,,
23.0,2009.0,516,24.0,Culpeper County,85.27%,8.33%,36083.0,44565.0,48348.0,,8.49,,,,,,,,,,,,,,,
24.0,2009.0,154,25.0,Cumberland County,75.32%,14.94%,27272.0,39714.0,39108.0,,-1.53,,,,,,,,,,,,,,,
25.0,2009.0,203,26.0,Dickenson County,81.77%,10.34%,26856.0,37146.0,39957.0,,7.57,,,,,,,,,,,,,,,
26.0,2009.0,453,27.0,Dinwiddie County,71.96%,15.23%,,44461.0,45181.0,,1.62,,,,,,,,,,,,,,,
27.0,2009.0,138,28.0,Essex County,86.23%,9.42%,33256.0,44821.0,42812.0,,-4.48,,,,,,,,,,,,,,,
28.0,2009.0,"13,291",29.0,Fairfax County,90.36%,6.26%,,60593.0,62458.0,,3.08,,,,,,,,,,,,,,,
29.0,2009.0,969,30.0,Fauquier County,88.13%,4.95%,53179.0,53055.0,55179.0,,4.0,,,,,,,,,,,,,,,
30.0,2009.0,154,31.0,Floyd County,88.96%,11.04%,29246.0,41891.0,41896.0,,0.01,,,,,,,,,,,,,,,
31.0,2009.0,286,32.0,Fluvanna County,88.46%,5.59%,34121.0,49313.0,50991.0,,3.4,,,,,,,,,,,,,,,
32.0,2009.0,579,33.0,Franklin County,80.14%,12.09%,,43549.0,43837.0,,0.66,,,,,,,,,,,,,,,
33.0,2009.0,"1,045",34.0,Frederick County,83.92%,6.51%,37658.0,45481.0,47085.0,,3.53,,,,,,,,,,,,,,,
34.0,2009.0,186,35.0,Giles County,78.49%,12.37%,30249.0,39804.0,40903.0,,2.76,,,,,,,,,,,,,,,
35.0,2009.0,517,36.0,Gloucester County,77.37%,11.03%,40091.0,44543.0,45857.0,,2.95,,,,,,,,,,,,,,,
36.0,2009.0,198,37.0,Goochland County,84.34%,7.07%,65674.0,42544.0,45358.0,,6.62,,,,,,,,,,,,,,,
37.0,2009.0,197,38.0,Grayson County,82.74%,9.14%,26134.0,36708.0,37108.0,,1.09,,,,,,,,,,,,,,,
38.0,2009.0,232,39.0,Greene County,90.52%,6.03%,32626.0,39212.0,36056.0,,-8.05,,,,,,,,,,,,,,,
39.0,2009.0,205,40.0,Greensville County,77.07%,20.00%,25668.0,42103.0,43318.0,,2.89,,,,,,,,,,,,,,,
40.0,2009.0,527,41.0,Halifax County,82.54%,3.23%,28451.0,39665.0,40518.0,,2.15,,,,,,,,,,,,,,,
41.0,2009.0,"1,629",42.0,Hanover County,92.27%,3.62%,43550.0,44609.0,45002.0,,0.88,,,,,,,,,,,,,,,
42.0,2009.0,"3,916",43.0,Henrico County,81.05%,10.21%,44970.0,46833.0,48776.0,,4.15,,,,,,,,,,,,,,,
43.0,2009.0,652,44.0,Henry County,81.29%,12.27%,29319.0,38302.0,40181.0,,4.91,,,,,,,,,,,,,,,
44.0,2009.0,29,45.0,Highland County,96.55%,3.45%,31869.0,41206.0,40337.0,,-2.11,,,,,,,,,,,,,,,
45.0,2009.0,476,46.0,Isle of Wight County,83.61%,11.34%,44438.0,45989.0,49741.0,,8.16,,,,,,,,,,,,,,,
46.0,2009.0,321,48.0,King George County,84.42%,10.90%,42953.0,44936.0,46172.0,,2.75,,,,,,,,,,,,,,,
47.0,2009.0,68,49.0,King and Queen County,85.29%,13.24%,33510.0,40744.0,42565.0,,4.47,,,,,,,,,,,,,,,
48.0,2009.0,151,50.0,King William County,90.07%,7.28%,36478.0,42471.0,45314.0,,6.69,,,,,,,,,,,,,,,
49.0,2009.0,122,51.0,Lancaster County,82.79%,10.66%,43315.0,42559.0,44186.0,,3.82,,,,,,,,,,,,,,,
50.0,2009.0,278,52.0,Lee County,65.47%,21.58%,25412.0,41701.0,40867.0,,-2.0,,,,,,,,,,,,,,,
51.0,2009.0,"3,660",53.0,Loudoun County,93.69%,3.91%,61423.0,60476.0,57518.0,,-4.89,,,,,,,,,,,,,,,
52.0,2009.0,400,54.0,Louisa County,87.50%,9.75%,34267.0,47347.0,48304.0,,2.02,,,,,,,,,,,,,,,
53.0,2009.0,123,55.0,Lunenburg County,79.67%,18.70%,25477.0,42647.0,40124.0,,-5.92,,,,,,,,,,,,,,,
54.0,2009.0,173,56.0,Madison County,84.39%,8.67%,32246.0,42577.0,44253.0,,3.94,,,,,,,,,,,,,,,
55.0,2009.0,131,57.0,Mathews County,85.50%,7.63%,44819.0,41041.0,39263.0,,-4.33,,,,,,,,,,,,,,,
56.0,2009.0,392,58.0,Mecklenburg County,88.78%,8.42%,28491.0,40432.0,40632.0,,0.5,,,,,,,,,,,,,,,
57.0,2009.0,133,59.0,Middlesex County,84.96%,9.02%,37983.0,38979.0,39666.0,,1.76,,,,,,,,,,,,,,,
58.0,2009.0,756,60.0,Montgomery County,79.37%,14.29%,28427.0,42182.0,43672.0,,3.53,,,,,,,,,,,,,,,
59.0,2009.0,155,62.0,Nelson County,78.71%,7.10%,35890.0,42627.0,44422.0,,4.21,,,,,,,,,,,,,,,
60.0,2009.0,218,63.0,New Kent County,86.70%,5.96%,52807.0,41188.0,43297.0,,5.12,,,,,,,,,,,,,,,
61.0,2009.0,158,65.0,Northampton County,77.85%,10.13%,36309.0,42670.0,38407.0,,-9.99,,,,,,,,,,,,,,,
62.0,2009.0,126,66.0,Northumberland County,75.40%,17.46%,35983.0,46644.0,47263.0,,1.33,,,,,,,,,,,,,,,
63.0,2009.0,190,67.0,Nottoway County,80.00%,12.63%,29273.0,39961.0,42025.0,,5.16,,,,,,,,,,,,,,,
64.0,2009.0,385,68.0,Orange County,91.17%,2.86%,36862.0,43133.0,41800.0,,-3.09,,,,,,,,,,,,,,,
65.0,2009.0,314,69.0,Page County,84.08%,4.78%,29375.0,41602.0,43956.0,,5.66,,,,,,,,,,,,,,,
66.0,2009.0,221,70.0,Patrick County,88.69%,4.98%,25753.0,39783.0,40120.0,,0.85,,,,,,,,,,,,,,,
67.0,2009.0,773,71.0,Pittsylvania County,83.57%,11.77%,28406.0,41202.0,40924.0,,-0.67,,,,,,,,,,,,,,,
68.0,2009.0,342,72.0,Powhatan County,88.60%,5.56%,38750.0,45078.0,45637.0,,1.24,,,,,,,,,,,,,,,
69.0,2009.0,189,73.0,Prince Edward County,78.31%,15.34%,23760.0,42599.0,43507.0,,2.13,,,,,,,,,,,,,,,
