Virginia Department of Education,,,,,,,,,
2009-2010 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2008 
Actual Average Teacher Salary","FY 2009 
Actual Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease),"FY 2010 
Budgeted Average Teacher Salary",FY 2009 to FY 2010 Percent Increase/ (Decrease),,,
103,Buena Vista City Public Schools," 42,461 "," 41,409 ",(2.48%)," 42,249 ",2.03% ,,,
104,Charlottesville City Public Schools," 52,985 "," 54,095 ",2.09% ," 56,079 ",3.67% ,,,
106,Colonial Heights City Public Schools," 50,158 "," 51,937 ",3.55% ," 51,867 ",(0.14%),,,
107,Covington City Public Schools," 44,710 "," 42,728 ",(4.43%)," 43,913 ",2.77% ,,,
108,Danville City Public Schools," 44,196 "," 46,633 ",5.51% ," 45,414 ",(2.61%),,,
109,Falls Church City Public Schools," 62,875 "," 63,309 ",0.69% ," 63,925 ",0.97% ,,,
110,Fredericksburg City Public Schools," 46,786 "," 48,148 ",2.91% ," 46,637 ",(3.14%),,,
111,Galax City Public Schools," 42,162 "," 43,609 ",3.43% ," 43,628 ",0.05% ,,,
112,Hampton City Public Schools," 38,320 "," 44,340 ",15.71% ," 44,397 ",0.13% ,,,
113,Harrisonburg City Public Schools," 45,659 "," 46,793 ",2.49% ," 46,423 ",(0.79%),,,
114,Hopewell City Public Schools," 44,687 "," 46,399 ",3.83% ," 46,605 ",0.44% ,,,
115,Lynchburg City Public Schools," 44,858 "," 46,475 ",3.60% ," 46,009 ",(1.00%),,,
116,Martinsville City Public Schools," 44,312 "," 42,418 ",(4.27%)," 42,699 ",0.66% ,,,
117,Newport News City Public Schools," 45,510 "," 48,938 ",7.53% ," 49,934 ",2.04% ,,,
118,Norfolk City Public Schools," 46,161 "," 48,903 ",5.94% ," 50,431 ",3.13% ,,,
119,Norton City Public Schools," 44,663 "," 43,931 ",(1.64%)," 42,671 ",(2.87%),,,
120,Petersburg City Public Schools," 40,797 "," 39,409 ",(3.40%)," 41,505 ",5.32% ,,,
121,Portsmouth City Public Schools," 36,924 "," 42,270 ",14.48% ," 50,266 ",18.92% ,,,
122,Radford City Public Schools," 46,423 "," 49,157 ",5.89% ," 48,018 ",(2.32%),,,
123,Richmond City Public Schools," 48,668 "," 49,403 ",1.51% ," 49,929 ",1.06% ,,,
124,Roanoke City Public Schools," 47,244 "," 43,563 ",(7.79%)," 37,346 ",(14.27%),,,
126,Staunton City Public Schools," 42,661 "," 43,965 ",3.06% ," 43,980 ",0.04% ,,,
127,Suffolk City Public Schools," 48,129 "," 49,964 ",3.81% ," 50,234 ",0.54% ,,,
128,Virginia Beach City Public Schools," 52,407 "," 53,343 ",1.79% ," 53,519 ",0.33% ,,,
130,Waynesboro City Public Schools," 45,476 "," 46,222 ",1.64% ," 50,667 ",9.62% ,,,
131,Williamsburg Public Schools4," 52,545 "," 53,722 ",2.24% ," 53,681 ",(0.08%),,,
132,Winchester City Public Schools," 48,498 "," 50,404 ",3.93% ," 51,014 ",1.21% ,,,
135,Franklin City Public Schools," 44,938 "," 45,787 ",1.89% ," 44,609 ",(2.57%),,,
136,Chesapeake City Public Schools," 52,885 "," 54,385 ",2.84% ," 54,858 ",0.87% ,,,
137,Lexington City Public Schools," 41,900 "," 47,204 ",12.66% ," 46,989 ",(0.46%),,,
139,Salem City Public Schools," 52,085 "," 53,912 ",3.51% ," 52,081 ",(3.40%),,,
142,Poquoson City Public Schools," 46,574 "," 48,225 ",3.55% ," 50,391 ",4.49% ,,,
143,Manassas City Public Schools," 60,455 "," 63,666 ",5.31% ," 60,903 ",(4.34%),,,
144,Manassas Park City Public Schools," 60,417 "," 56,429 ",(6.60%)," 56,508 ",0.14% ,,,
Towns,, -   ,,,,,,,
202,Colonial Beach Public Schools," 41,032 "," 42,432 ",3.41% ," 46,322 ",9.17% ,,,
207,West Point Public Schools," 41,731 "," 39,841 ",(4.53%)," 44,437 ",11.54% ,,,
,Average for School Divisions5:," 50,528 "," 52,323 ",3.55% ," 52,167 ",(0.30%),,,
,,,,,,,,,
Governor's Schools,,,,,,,,,
260,Central Virginia Governor's School," 64,605 "," 67,821 ",4.98% ," 67,821 ",0.00% ,,,
261,Southwest Virginia Governor's School," 43,415 "," 42,575 ",(1.93%)," 43,217 ",1.51% ,,,
262,Governor's School For The Arts," 41,511 "," 43,443 ",4.65% ," 42,629 ",(1.87%),,,
263,Roanoke Valley Governor's School," 50,182 "," 55,037 ",9.67% ," 47,390 ",(13.89%),,,
264,New Horizons Governor's School," 48,709 "," 45,804 ",(5.96%)," 49,247 ",7.52% ,,,
265,Shenandoah Valley Governor's School," 46,141 "," 50,659 ",9.79% ," 50,431 ",(0.45%),,,
266,Governor's School Global Economics/Tech," 46,951 "," 49,643 ",5.73% ," 49,643 ",0.00% ,,,
267,Appomattox Regional Governor's School," 42,232 "," 44,240 ",4.75% ," 47,468 ",7.30% ,,,
268,A. Linwood Holton Governor's School," 42,418 "," 43,687 ",2.99% ," 43,687 ",0.00% ,,,
269,Chesapeake Bay Governor's School," 50,289 "," 51,597 ",2.60% ," 50,143 ",(2.82%),,,
270,Commonwealth Governor's School," 61,611 "," 58,601 ",(4.88%)," 61,464 ",4.88% ,,,
271,Maggie L. Walker Governor's School," 54,504 "," 57,267 ",5.07% ," 51,224 ",(10.55%),,,
272,Thomas Jefferson High School," 77,303 "," 80,143 ",3.67% ," 81,451 ",1.63% ,,,
273,Blue Ridge Governor's School," 42,619 "," 48,581 ",13.99% ," 45,065 ",(7.24%),,,
274,Jackson River Governor's School," 64,850 ", -   ,, -   ,,,,
275,Massanutten Governor's School," 48,917 "," 52,806 ",-," 52,662 ",(0.27%),,,
276,Piedmont Governor's School," 46,528 "," 46,371 ",(0.34%)," 46,150 ",(0.48%),,,
277,Mountain Vista Governor's School," 67,354 "," 69,591 ",3.32% ," 59,710 ",(14.20%),,,
,Average for Governor's Schools5:," 59,774 "," 61,170 ",2.34% ," 60,814 ",(0.58%),,,
,,,,,,,,,
Special Education Regional Programs,,,,,,,,,
280,Cooperative Centers For Exceptional Children," 39,741 "," 40,614 ",2.20% ," 40,714 ",0.25% ,,,
281,Middle Peninsula Special Education Program," 39,379 "," 39,308 ",(0.18%)," 33,718 ",(14.22%),,,
282,Laurel Regional Special Education Center," 45,921 "," 51,570 ",12.30% ," 43,088 ",(16.45%),,,
283,Northern Neck Special Education Program," 39,327 "," 41,238 ",4.86% ," 42,829 ",3.86% ,,,
284,Northwestern Regional Education Program," 46,472 "," 48,655 ",4.70% ," 47,654 ",(2.06%),,,
285,Peninsula Area Cooperative Education Services," 42,056 "," 42,792 ",1.75% ," 43,568 ",1.81% ,,,
286,Piedmont Regional Education Program," 46,415 "," 46,490 ",0.16% ," 49,058 ",5.52% ,,,
287,Shenandoah Valley Regional Program," 39,079 "," 38,802 ",(0.71%)," 42,178 ",8.70% ,,,
288,Southeastern Cooperative Educational Program," 43,804 "," 44,708 ",2.06% ," 43,661 ",(2.34%),,,
290,N. Virginia Regional Special Education Program," 55,407 "," 58,956 ",6.40% ," 58,956 ",0.00% ,,,
292,Henry Co/Martinsville Regional Program," 36,981 "," 39,359 ",6.43% ," 40,661 ",3.31% ,,,
299,Roanoke Valley Regional Board," 43,543 "," 44,532 ",2.27% ," 42,475 ",(4.62%),,,
,Average for Special Education Programs5:," 46,619 "," 48,722 ",4.51% ," 48,199 ",(1.07%),,,
,,,,,,,,,
Vocational Education Regional Programs,,,,,,,,,
301,Charlottesville-Albemarle Vocational-Technical," 52,502 "," 51,991 ",(0.97%)," 62,848 ",20.88% ,,,
302,Jackson River Technical Center," 44,771 "," 46,817 ",4.57% ," 46,870 ",0.11% ,,,
304,Massanutten Technical Center," 44,548 "," 48,549 ",8.98% ," 50,822 ",4.68% ,,,
306,Valley Vocational-Technical Center," 47,602 "," 49,163 ",3.28% ," 47,422 ",(3.54%),,,
307,New Horizons Regional Education Center," 42,010 "," 49,324 ",17.41% ," 50,255 ",1.89% ,,,
308,P. D. Pruden Vocational-Technical Center," 49,956 "," 49,088 ",(1.74%)," 49,418 ",0.67% ,,,
309,Rowanty Vocational-Technical Center," 48,718 "," 50,263 ",3.17% ," 50,263 ",0.00% ,,,
310,Northern Neck Vocational-Technical Center," 44,533 "," 39,792 ",(10.65%)," 41,845 ",5.16% ,,,
311,Amelia-Nottoway Vocational-Technical Center," 37,691 "," 40,051 ",6.26% ," 39,655 ",(0.99%),,,
,Average for Vocational Education Programs5:," 46,323 "," 48,235 ",4.13% ," 49,261 ",2.13% ,,,
,,,,,,,,,
Regional Alternative Education Programs,,,,,,,,,
401,Lynchburg City Secondary Alternative," 36,439 "," 35,252 ",(3.26%)," 35,252 ",0.00% ,,,
402,Enterprise Academy/Newport News City," 52,415 "," 53,685 ",2.42% ," 53,982 ",0.55% ,,,
403,Tidewater Regional Alternative Education," 38,799 "," 40,557 ",4.53% ," 43,778 ",7.94% ,,,
404,Regional Alternative Plus Self Project/Roanoke," 57,631 "," 41,421 ",(28.13%)," 41,421 ",0.00% ,,,
405,Transition Support Resource Center/Fairfax," 77,791 "," 91,067 ",17.07% ," 91,067 ",0.00% ,,,
406,Project Return/Fluvanna County," 39,903 "," 41,499 ",4.00% ," 41,499 ",0.00% ,,,
407,Behav Disord Youth/Montgomery," 44,687 "," 48,050 ",7.53% ," 48,655 ",1.26% ,,,
408,Petersburg Regional Alternative," 38,200 "," 40,300 ",5.50% ," 41,000 ",1.74% ,,,
409,Regional Alternative/Pittsylvania Co," 31,760 "," 33,080 ",4.16% ," 33,080 ",0.00% ,,,
410,Project Return/Powhatan Co," 42,894 "," 40,000 ",(6.75%)," 53,518 ",33.80% ,,,
411,Crossroads Alternative/Bristol City," 40,909 "," 37,570 ",(8.16%)," 37,565 ",(0.01%),,,
412,Metro Richmond Alternative Ed," 38,434 "," 36,193 ",(5.83%)," 35,714 ",(1.32%),,,
413,Regional Alternative Ed/Stafford Co," 40,761 "," 52,923 ",29.84% ," 68,750 ",29.91% ,,,
414,Southside L.I.N.K. Project/Brunswick Co," 35,117 "," 39,123 ",11.41% ," 39,123 ",0.00% ,,,
415,Regional Alternative Ed/King William," 30,264 "," 31,732 ",4.85% ," 44,615 ",40.60% ,,,
416,New Dominion/Prince William Co," 69,458 "," 85,541 ",23.16% ," 54,600 ",(36.17%),,,
417,Project Bridge/Russell Co," 32,517 "," 34,144 ",5.00% ," 36,048 ",5.58% ,,,
418,Regional Alternative/Wythe Co," 38,732 "," 49,526 ",27.87% ," 50,026 ",1.01% ,,,
420,On The Right Track Reg Alternative Education," 38,214 "," 40,112 ",4.97% ," 40,112 ",0.00% ,,,
421,Northern Neck Regional Alternative Education," 37,593 "," 38,891 ",3.45% ," 38,851 ",(0.10%),,,
422,Shenandoah Valley Reg Alternative Ed/Genesis," 36,222 "," 36,217 ",(0.01%)," 36,209 ",(0.02%),,,
423,Breaking Barriers Alternative Ed/Henry Co," 33,048 "," 34,009 ",2.91% ," 35,000 ",2.91% ,,,
424,Carroll/Galax/Joy Ranch Reg Alternative Ed," 35,326 "," 36,190 ",2.45% ," 36,366 ",0.49% ,,,
426,Regional Learning Academy/Wise Co," 40,326 "," 33,423 ",(17.12%)," 34,062 ",1.91% ,,,
427,Regional Community Alternative Ed Continuum," 37,541 "," 47,256 ",25.88% ," 33,274 ",(29.59%),,,
428,Project Renew/Northampton Co," 31,611 "," 31,219 ",(1.24%)," 30,489 ",(2.34%),,,
429,Renaissance/Scott Co," 42,659 "," 43,696 ",2.43% ," 45,007 ",3.00% ,,,
430,R.E.Cook Regional Alternative," 43,867 "," 45,986 ",4.83% ," 56,500 ",22.86% ,,,
,Average for Alternative Education Programs5:," 42,980 "," 45,439 ",5.72% ," 44,873 ",(1.25%),,,
,,,,,,,,,
,Statewide Average5: ," 50,511 "," 52,309 ",3.56% ," 52,149 ",(0.31%),,,
,,,,,,,,,
1  Data for Bedford City is reported with Bedford County.,,,,,,,,,
2  Data for Fairfax City is reported with Fairfax County.,,,,,,,,,
3  Data for Emporia City is reported with Greensville County.,,,,,,,,,
4  Data for James City County is reported with Williamsburg City.,,,,,,,,,
5  Average calculated on the basis of statewide totals.,,,,,,,,,
Note: DOE staff prepared the report based on Annual School Report (ASR) data submitted by each school division or regional program.,,,,,,,,,
