Virginia Department of Education,,,,,,,,,
2013-2014 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2012 
Actual Average Teacher Salary","FY 2013 
Actual Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease),"FY 2014 
Budgeted Average Teacher Salary",FY 2013 to FY 2014 Percent Increase/ (Decrease),,,
103,Buena Vista City Public Schools," 41,397 "," 42,528 ",2.73% ," 43,229 ",1.65% ,,,
104,Charlottesville City Public Schools," 52,790 "," 55,114 ",4.40% ," 56,454 ",2.43% ,,,
106,Colonial Heights City Public Schools," 50,451 "," 51,501 ",2.08% ," 52,356 ",1.66% ,,,
107,Covington City Public Schools," 51,412 "," 49,439 ",(3.84%)," 48,199 ",(2.51%),,,
108,Danville City Public Schools," 45,898 "," 46,948 ",2.29% ," 45,969 ",(2.09%),,,
109,Falls Church City Public Schools," 63,273 "," 65,583 ",3.65% ," 67,202 ",2.47% ,,,
110,Fredericksburg City Public Schools," 45,704 "," 47,201 ",3.28% ," 47,152 ",(0.10%),,,
111,Galax City Public Schools," 45,100 "," 46,993 ",4.20% ," 48,124 ",2.41% ,,,
112,Hampton City Public Schools," 45,137 "," 45,029 ",(0.24%)," 44,103 ",(2.06%),,,
113,Harrisonburg City Public Schools," 45,439 "," 44,237 ",(2.65%)," 45,170 ",2.11% ,,,
114,Hopewell City Public Schools," 45,013 "," 46,797 ",3.96% ," 46,995 ",0.42% ,,,
115,Lynchburg City Public Schools," 41,960 "," 41,089 ",(2.08%)," 40,966 ",(0.30%),,,
116,Martinsville City Public Schools," 42,969 "," 44,623 ",3.85% ," 45,141 ",1.16% ,,,
117,Newport News City Public Schools," 48,228 "," 48,192 ",(0.07%)," 48,982 ",1.64% ,,,
118,Norfolk City Public Schools," 48,967 "," 48,929 ",(0.08%)," 50,469 ",3.15% ,,,
119,Norton City Public Schools," 40,934 "," 41,039 ",0.26% ," 40,985 ",(0.13%),,,
120,Petersburg City Public Schools," 40,644 "," 41,139 ",1.22% ," 42,348 ",2.94% ,,,
121,Portsmouth City Public Schools," 36,517 "," 38,183 ",4.56% ," 36,509 ",(4.38%),,,
122,Radford City Public Schools," 48,016 "," 49,967 ",4.06% ," 52,674 ",5.42% ,,,
123,Richmond City Public Schools," 50,485 "," 48,921 ",(3.10%)," 49,802 ",1.80% ,,,
124,Roanoke City Public Schools," 48,039 "," 47,363 ",(1.41%)," 48,870 ",3.18% ,,,
126,Staunton City Public Schools," 41,588 "," 43,979 ",5.75% ," 44,157 ",0.40% ,,,
127,Suffolk City Public Schools," 48,516 "," 49,158 ",1.32% ," 46,668 ",(5.06%),,,
128,Virginia Beach City Public Schools," 53,201 "," 54,875 ",3.15% ," 53,533 ",(2.45%),,,
130,Waynesboro City Public Schools," 44,929 "," 45,209 ",0.62% ," 48,702 ",7.73% ,,,
131,Williamsburg Public Schools4," 51,572 "," 52,037 ",0.90% ," 52,428 ",0.75% ,,,
132,Winchester City Public Schools," 51,256 "," 54,404 ",6.14% ," 49,831 ",(8.41%),,,
135,Franklin City Public Schools," 45,159 "," 44,257 ",(2.00%)," 48,278 ",9.09% ,,,
136,Chesapeake City Public Schools," 53,043 "," 54,830 ",3.37% ," 55,704 ",1.59% ,,,
137,Lexington City Public Schools," 45,733 "," 41,025 ",(10.29%)," 42,285 ",3.07% ,,,
139,Salem City Public Schools," 54,493 "," 56,207 ",3.15% ," 56,350 ",0.25% ,,,
142,Poquoson City Public Schools," 45,984 "," 48,113 ",4.63% ," 49,097 ",2.04% ,,,
143,Manassas City Public Schools," 63,340 "," 62,347 ",(1.57%)," 66,304 ",6.35% ,,,
144,Manassas Park City Public Schools," 56,934 "," 56,323 ",(1.07%)," 57,003 ",1.21% ,,,
Towns,,,,,,,,,
202,Colonial Beach Public Schools," 38,843 "," 40,116 ",3.28% ," 39,275 ",(2.10%),,,
207,West Point Public Schools," 41,751 "," 40,911 ",(2.01%)," 44,502 ",8.78% ,,,
,Average for School Divisions5:," 52,118 "," 52,949 ",1.59% ," 53,475 ",0.99% ,,,
,,,,,,,,,
Governor's Schools,,,,,,,,,
260,Central Virginia Governor's School," 66,793 "," 70,950 ",6.22% ," 73,266 ",3.26% ,,,
261,Southwest Virginia Governor's School," 55,945 "," 51,800 ",(7.41%)," 51,974 ",0.34% ,,,
262,Governor's School For The Arts," 38,928 "," 40,348 ",3.65% ," 42,064 ",4.25% ,,,
263,Roanoke Valley Governor's School," 50,060 "," 52,206 ",4.29% ," 47,245 ",(9.50%),,,
264,New Horizons Governor's School," 47,877 "," 48,506 ",1.31% , -   ,,,,
265,Shenandoah Valley Governor's School," 48,572 "," 50,245 ",3.45% ," 50,885 ",1.27% ,,,
266,Governor's School Global Economics/Tech," 42,384 "," 52,368 ",23.56% ," 52,524 ",0.30% ,,,
267,Appomattox Regional Governor's School," 48,659 "," 48,090 ",(1.17%)," 49,330 ",2.58% ,,,
268,A. Linwood Holton Governor's School," 48,454 "," 47,705 ",(1.55%)," 48,659 ",2.00% ,,,
269,Chesapeake Bay Governor's School," 46,499 "," 48,055 ",3.35% ," 48,164 ",0.23% ,,,
270,Commonwealth Governor's School," 59,944 "," 58,970 ",(1.62%)," 58,450 ",(0.88%),,,
271,Maggie L. Walker Governor's School," 56,056 ", Data not submitted by division. ,,,,,,
272,Thomas Jefferson High School," 76,375 "," 77,467 ",1.43% ," 81,526 ",5.24% ,,,
273,Blue Ridge Governor's School," 40,652 "," 40,418 ",(0.58%)," 44,934 ",11.17% ,,,
274,Jackson River Governor's School, -   , -   ,, -   ,,,,
275,Massanutten Governor's School," 52,672 "," 51,855 ",(1.55%)," 57,086 ",10.09% ,,,
276,Piedmont Governor's School," 46,473 "," 46,903 ",0.93% ," 46,920 ",0.04% ,,,
277,Mountain Vista Governor's School," 56,764 "," 65,170 ",14.81% ," 66,156 ",1.51% ,,,
278,Governor's School at Innovation Park," 60,983 "," 60,566 ",(0.68%)," 61,839 ",2.10% ,,,
,Average for Governor's Schools5:," 59,766 "," 61,579 ",3.03% ," 65,797 ",6.85% ,,,
,,,,,,,,,
Special Education Regional Programs,,,,,,,,,
280,Cooperative Centers For Exceptional Children," 39,787 "," 41,016 ",3.09% ," 41,212 ",0.48% ,,,
281,Middle Peninsula Special Education Program," 39,618 "," 42,179 ",6.46% ," 43,175 ",2.36% ,,,
282,Laurel Regional Special Education Center," 48,515 "," 48,112 ",(0.83%)," 49,556 ",3.00% ,,,
283,Northern Neck Special Education Program," 37,905 "," 42,467 ",12.03% ," 46,995 ",10.66% ,,,
284,Northwestern Regional Education Program," 47,817 "," 49,961 ",4.48% ," 50,773 ",1.63% ,,,
285,Peninsula Area Cooperative Education Services," 43,713 "," 45,286 ",3.60% ," 46,841 ",3.43% ,,,
286,Piedmont Regional Education Program," 42,050 "," 42,624 ",1.37% ," 42,624 ",0.00% ,,,
287,Shenandoah Valley Regional Program," 44,577 "," 43,524 ",(2.36%)," 47,258 ",8.58% ,,,
288,Southeastern Cooperative Educational Program," 45,887 "," 45,866 ",(0.05%)," 46,923 ",2.30% ,,,
290,N. Virginia Regional Special Education Program," 57,726 "," 58,058 ",0.57% ," 58,058 ",0.00% ,,,
292,Henry Co/Martinsville Regional Program," 39,720 "," 41,847 ",5.36% ," 42,177 ",0.79% ,,,
299,Roanoke Valley Regional Board," 43,135 "," 43,073 ",(0.14%)," 44,128 ",2.45% ,,,
,Average for Special Education Programs5:," 47,872 "," 48,637 ",1.60% ," 49,530 ",1.84% ,,,
,,,,,,,,,
Vocational Education Regional Programs,,,,,,,,,
301,Charlottesville-Albemarle Vocational-Technical," 60,094 "," 62,598 ",4.17% ," 70,077 ",11.95% ,,,
302,Jackson River Technical Center," 47,940 "," 49,929 ",4.15% ," 49,412 ",(1.04%),,,
304,Massanutten Technical Center," 48,184 "," 51,584 ",7.05% ," 52,727 ",2.22% ,,,
306,Valley Vocational-Technical Center," 46,171 "," 47,930 ",3.81% ," 51,044 ",6.50% ,,,
307,New Horizons Regional Education Center," 50,528 "," 46,281 ",(8.40%)," 50,973 ",10.14% ,,,
308,P. D. Pruden Vocational-Technical Center," 47,900 "," 47,784 ",(0.24%)," 47,784 ",0.00% ,,,
309,Rowanty Vocational-Technical Center," 46,939 "," 49,862 ",6.23% ," 52,044 ",4.38% ,,,
310,Northern Neck Vocational-Technical Center," 43,049 "," 45,180 ",4.95% ," 51,634 ",14.28% ,,,
311,Amelia-Nottoway Vocational-Technical Center," 51,968 ", Data not submitted by division. ,,,,,,
313,Bridging Communities Career and Technical Center, N/A ," 39,316 ",N/A," 46,381 ",17.97% ,,,
,Average for Vocational Education Programs5:," 48,564 "," 49,344 ",1.61% ," 52,205 ",5.80% ,,,
,,,,,,,,,
Regional Alternative Education Programs,,,,,,,,,
401,Lynchburg City Secondary Alternative," 52,215 "," 55,493 ",6.28% ," 57,158 ",3.00% ,,,
402,Enterprise Academy/Newport News City," 51,859 "," 52,969 ",2.14% ," 53,349 ",0.72% ,,,
403,Tidewater Regional Alternative Education," 36,643 "," 38,249 ",4.38% ," 40,323 ",5.42% ,,,
404,Regional Alternative Plus Self Project/Roanoke," 48,249 "," 50,252 ",4.15% ," 49,444 ",(1.61%),,,
405,Transition Support Resource Center/Fairfax," 83,364 "," 83,208 ",(0.19%)," 85,699 ",2.99% ,,,
406,Project Return/Fluvanna County," 40,047 "," 40,488 ",1.10% ," 41,865 ",3.40% ,,,
407,Behav Disord Youth/Montgomery," 44,143 "," 43,286 ",(1.94%)," 46,517 ",7.46% ,,,
408,Petersburg Regional Alternative," 35,027 "," 39,160 ",11.80% ," 40,600 ",3.68% ,,,
409,Regional Alternative/Pittsylvania Co," 41,375 "," 38,552 ",(6.82%)," 36,978 ",(4.08%),,,
410,Project Return/Powhatan Co," 39,908 "," 59,341 ",48.69% ," 53,620 ",(9.64%),,,
411,Crossroads Alternative/Bristol City," 34,733 "," 37,342 ",7.51% ," 38,104 ",2.04% ,,,
412,Metro Richmond Alternative Ed," 40,499 "," 47,047 ",16.17% ," 44,739 ",(4.91%),,,
413,Regional Alternative Ed/Stafford Co," 50,719 "," 51,685 ",1.90% ," 53,127 ",2.79% ,,,
414,Southside L.I.N.K. Project/Brunswick Co," 36,742 "," 41,834 ",13.86% ," 42,670 ",2.00% ,,,
415,Regional Alternative Ed/King William," 30,797 "," 26,279 ",(14.67%)," 26,506 ",0.86% ,,,
416,New Dominion/Prince William Co," 62,653 "," 61,158 ",(2.39%)," 55,472 ",(9.30%),,,
417,Project Bridge/Russell Co," 31,996 "," 33,163 ",3.65% ," 33,733 ",1.72% ,,,
418,Regional Alternative/Wythe Co," 50,655 "," 26,150 ",(48.38%)," 41,480 ",58.62% ,,,
420,Piedmont Alternative School," 39,100 ", Data not submitted by division. ,,,,,,
421,Northern Neck Regional Alternative Education," 47,779 "," 50,168 ",5.00% ," 51,172 ",2.00% ,,,
422,Shenandoah Valley Reg Alternative Ed/Genesis," 37,565 "," 39,574 ",5.35% ," 38,941 ",(1.60%),,,
423,Breaking Barriers Alternative Ed/Henry Co," 38,450 "," 39,800 ",3.51% ," 40,282 ",1.21% ,,,
424,Carroll/Galax/Joy Ranch Reg Alternative Ed," 37,247 "," 33,405 ",(10.31%)," 34,407 ",3.00% ,,,
426,Regional Learning Academy/Wise Co," 49,823 "," 52,533 ",5.44% ," 54,114 ",3.01% ,,,
427,Regional Community Alternative Ed Continuum," 46,513 "," 47,829 ",2.83% ," 47,230 ",(1.25%),,,
428,Project Renew/Northampton Co," 27,014 "," 32,717 ",21.11% ," 33,243 ",1.61% ,,,
429,Renaissance/Scott Co," 44,103 "," 45,269 ",2.65% ," 46,175 ",2.00% ,,,
431,Regional Alternative Education Center/Buena Vista," 43,343 "," 40,219 ",(7.21%)," 40,400 ",0.45% ,,,
,Average for Alternative Education Programs5:," 44,894 "," 45,889 ",2.22% ," 46,205 ",0.69% ,,,
,,,,,,,,,
,Statewide Average5: ," 52,096 "," 52,923 ",1.59% ," 53,466 ",1.03% ,,,
,,,,,,,,,
1  Data for Bedford City is reported with Bedford County.,,,,,,,,,
2  Data for Fairfax City is reported with Fairfax County.,,,,,,,,,
3  Data for Emporia City is reported with Greensville County.,,,,,,,,,
4  Data for James City County is reported with Williamsburg City.,,,,,,,,,
5  Average calculated on the basis of statewide totals.,,,,,,,,,
Note: DOE staff prepared the report based on Annual School Report (ASR) data submitted by each school division or regional program.,,,,,,,,,
