Virginia Department of Education,,,,,,,,,
2008-2009 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2007 
Actual Average Teacher Salary","FY 2008
Actual Average Teacher Salary",FY 2007 to FY 2008 Percent Increase/ (Decrease),"FY 2009 
Budgeted Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease),,,
103,Buena Vista City Public Schools," 43,262 "," 42,461 ",(1.85%)," 45,738 ",7.72% ,,,
104,Charlottesville City Public Schools," 50,325 "," 52,985 ",5.29% ," 55,193 ",4.17% ,,,
106,Colonial Heights City Public Schools," 47,838 "," 50,158 ",4.85% ," 51,703 ",3.08% ,,,
107,Covington City Public Schools," 44,640 "," 44,710 ",0.16% ," 45,913 ",2.69% ,,,
108,Danville City Public Schools," 43,283 "," 44,196 ",2.11% ," 45,534 ",3.03% ,,,
109,Falls Church City Public Schools," 61,887 "," 62,875 ",1.60% ," 65,729 ",4.54% ,,,
110,Fredericksburg City Public Schools," 44,509 "," 46,786 ",5.12% ," 49,407 ",5.60% ,,,
111,Galax City Public Schools," 41,090 "," 42,162 ",2.61% ," 42,859 ",1.65% ,,,
112,Hampton City Public Schools," 37,594 "," 38,320 ",1.93% ," 40,414 ",5.46% ,,,
113,Harrisonburg City Public Schools," 45,195 "," 45,659 ",1.03% ," 45,303 ",(0.78%),,,
114,Hopewell City Public Schools," 42,378 "," 44,687 ",5.45% ," 46,647 ",4.39% ,,,
115,Lynchburg City Public Schools," 44,702 "," 44,858 ",0.35% ," 45,988 ",2.52% ,,,
116,Martinsville City Public Schools," 34,465 "," 44,312 ",28.57% ," 42,344 ",(4.44%),,,
117,Newport News City Public Schools," 44,735 "," 45,510 ",1.73% ," 48,178 ",5.86% ,,,
118,Norfolk City Public Schools," 45,288 "," 46,161 ",1.93% ," 39,727 ",(13.94%),,,
119,Norton City Public Schools," 43,339 "," 44,663 ",3.05% ," 42,539 ",(4.75%),,,
120,Petersburg City Public Schools," 38,998 "," 40,797 ",4.61% ," 40,743 ",(0.13%),,,
121,Portsmouth City Public Schools," 34,924 "," 36,924 ",5.73% ," 52,114 ",41.14% ,,,
122,Radford City Public Schools," 45,498 "," 46,423 ",2.03% ," 53,495 ",15.23% ,,,
123,Richmond City Public Schools," 46,845 "," 48,668 ",3.89% ," 50,480 ",3.72% ,,,
124,Roanoke City Public Schools," 47,392 "," 47,244 ",(0.31%)," 41,890 ",(11.33%),,,
126,Staunton City Public Schools," 41,087 "," 42,661 ",3.83% ," 43,249 ",1.38% ,,,
127,Suffolk City Public Schools," 47,447 "," 48,129 ",1.44% ," 49,783 ",3.44% ,,,
128,Virginia Beach City Public Schools," 51,102 "," 52,407 ",2.55% ," 54,435 ",3.87% ,,,
130,Waynesboro City Public Schools," 44,056 "," 45,476 ",3.22% ," 47,912 ",5.36% ,,,
131,Williamsburg Public Schools4," 52,367 "," 52,545 ",0.34% ," 52,964 ",0.80% ,,,
132,Winchester City Public Schools," 45,850 "," 48,498 ",5.77% ," 48,886 ",0.80% ,,,
135,Franklin City Public Schools," 43,610 "," 44,938 ",3.05% ," 47,243 ",5.13% ,,,
136,Chesapeake City Public Schools," 51,348 "," 52,885 ",2.99% ," 54,914 ",3.84% ,,,
137,Lexington City Public Schools," 44,251 "," 41,900 ",(5.31%)," 43,439 ",3.67% ,,,
139,Salem City Public Schools," 51,211 "," 52,085 ",1.71% ," 57,421 ",10.24% ,,,
142,Poquoson City Public Schools," 43,809 "," 46,574 ",6.31% ," 43,466 ",(6.67%),,,
143,Manassas City Public Schools," 59,709 "," 60,455 ",1.25% ," 65,352 ",8.10% ,,,
144,Manassas Park City Public Schools," 58,247 "," 60,417 ",3.73% ," 61,479 ",1.76% ,,,
Towns,, -   ,,,,,,,
202,Colonial Beach Public Schools," 39,792 "," 41,032 ",3.12% ," 50,051 ",21.98% ,,,
207,West Point Public Schools," 41,071 "," 41,731 ",1.61% ," 42,827 ",2.63% ,,,
,Average for School Divisions5:," 49,153 "," 50,528 ",2.80% ," 51,923 ",2.76% ,,,
,,,,,,,,,
Governor's Schools,,,,,,,,,
260,Central Virginia Governor's School," 61,147 "," 64,605 ",5.66% ," 66,543 ",3.00% ,,,
261,Southwest Virginia Governor's School," 47,754 "," 43,415 ",(9.09%)," 44,521 ",2.55% ,,,
262,Governor's School For The Arts," 41,944 "," 41,511 ",(1.03%)," 43,229 ",4.14% ,,,
263,Roanoke Valley Governor's School," 46,710 "," 50,182 ",7.43% ," 53,299 ",6.21% ,,,
264,New Horizons Governor's School," 49,670 "," 48,709 ",(1.93%)," 45,650 ",(6.28%),,,
265,Shenandoah Valley Governor's School," 47,209 "," 46,141 ",(2.26%)," 52,277 ",13.30% ,,,
266,Governor's School Global Economics/Tech," 45,703 "," 46,951 ",2.73% ," 48,602 ",3.52% ,,,
267,Appomattox Regional Governor's School," 41,986 "," 42,232 ",0.59% ," 43,193 ",2.28% ,,,
268,A. Linwood Holton Governor's School," 41,045 "," 42,418 ",3.35% ," 44,345 ",4.54% ,,,
269,Chesapeake Bay Governor's School," 48,754 "," 50,289 ",3.15% ," 52,878 ",5.15% ,,,
270,Commonwealth Governor's School," 60,014 "," 61,611 ",2.66% ," 61,130 ",(0.78%),,,
271,Maggie L. Walker Governor's School," 52,123 "," 54,504 ",4.57% ," 48,724 ",(10.60%),,,
272,Thomas Jefferson High School," 78,021 "," 77,303 ",(0.92%)," 82,171 ",6.30% ,,,
273,Blue Ridge Governor's School," 38,555 "," 42,619 ",10.54% ," 44,883 ",5.31% ,,,
274,Jackson River Governor's School," 54,600 "," 64,850 ",18.77% ," 64,850 ",0.00% ,,,
275,Massanutten Governor's School, New School ," 48,917 ",-," 49,043 ",0.26% ,,,
276,Piedmont Governor's School," 44,418 "," 46,528 ",4.75% ," 46,690 ",0.35% ,,,
277,Mountain Vista Governor's School," 50,139 "," 67,354 ",34.33% ," 64,480 ",(4.27%),,,
,Average for Governor's Schools5:," 60,529 "," 59,774 ",(1.25%)," 60,732 ",1.60% ,,,
,,,,,,,,,
Special Education Regional Programs,,,,,,,,,
280,Cooperative Centers For Exceptional Children," 37,955 "," 39,741 ",4.71% ," 41,331 ",4.00% ,,,
281,Middle Peninsula Special Education Program," 38,883 "," 39,379 ",1.27% ," 40,801 ",3.61% ,,,
282,Laurel Regional Special Education Center," 46,480 "," 45,921 ",(1.20%)," 47,299 ",3.00% ,,,
283,Northern Neck Special Education Program," 36,651 "," 39,327 ",7.30% ," 41,656 ",5.92% ,,,
284,Northwestern Regional Education Program," 45,414 "," 46,472 ",2.33% ," 47,366 ",1.92% ,,,
285,Peninsula Area Cooperative Education Services," 41,957 "," 42,056 ",0.24% ," 44,909 ",6.78% ,,,
286,Piedmont Regional Education Program," 44,835 "," 46,415 ",3.52% ," 48,666 ",4.85% ,,,
287,Shenandoah Valley Regional Program," 34,364 "," 39,079 ",13.72% ," 46,617 ",19.29% ,,,
288,Southeastern Cooperative Educational Program," 42,539 "," 43,804 ",2.97% ," 43,661 ",(0.33%),,,
290,N. Virginia Regional Special Education Program," 51,842 "," 55,407 ",6.88% ," 54,268 ",(2.06%),,,
292,Henry Co/Martinsville Regional Program," 34,890 "," 36,981 ",5.99% ," 41,356 ",11.83% ,,,
299,Roanoke Valley Regional Board," 41,169 "," 43,543 ",5.77% ," 45,289 ",4.01% ,,,
,Average for Special Education Programs5:," 44,796 "," 46,619 ",4.07% ," 47,674 ",2.26% ,,,
,,,,,,,,,
Vocational Education Regional Programs,,,,,,,,,
301,Charlottesville-Albemarle Vocational-Technical," 46,398 "," 52,502 ",13.16% ," 52,298 ",(0.39%),,,
302,Jackson River Technical Center," 42,906 "," 44,771 ",4.35% ," 47,367 ",5.80% ,,,
304,Massanutten Technical Center," 45,632 "," 44,548 ",(2.38%)," 53,399 ",19.87% ,,,
306,Valley Vocational-Technical Center," 46,374 "," 47,602 ",2.65% ," 49,553 ",4.10% ,,,
307,New Horizons Regional Education Center," 40,341 "," 42,010 ",4.14% ," 43,775 ",4.20% ,,,
308,P. D. Pruden Vocational-Technical Center," 46,245 "," 49,956 ",8.02% ," 47,238 ",(5.44%),,,
309,Rowanty Vocational-Technical Center," 49,410 "," 48,718 ",(1.40%)," 50,779 ",4.23% ,,,
310,Northern Neck Vocational-Technical Center," 42,779 "," 44,533 ",4.10% ," 46,386 ",4.16% ,,,
311,Amelia-Nottoway Vocational-Technical Center," 37,084 "," 37,691 ",1.64% ," 40,051 ",6.26% ,,,
,Average for Vocational Education Programs5:," 42,018 "," 46,323 ",10.25% ," 48,638 ",5.00% ,,,
,,,,,,,,,
Regional Alternative Education Programs,,,,,,,,,
401,Lynchburg City Secondary Alternative," 42,515 "," 36,439 ",(14.29%)," 37,532 ",3.00% ,,,
402,Enterprise Academy/Newport News City," 55,067 "," 52,415 ",(4.82%)," 54,249 ",3.50% ,,,
403,Tidewater Regional Alternative Education," 36,674 "," 38,799 ",5.79% ," 42,079 ",8.45% ,,,
404,Regional Alternative Plus Self Project/Roanoke," 42,453 "," 57,631 ",35.75% ," 64,969 ",12.73% ,,,
405,Transition Support Resource Center/Fairfax," 73,985 "," 77,791 ",5.14% ," 79,643 ",2.38% ,,,
406,Project Return/Fluvanna County," 38,741 "," 39,903 ",3.00% ," 41,499 ",4.00% ,,,
407,Behav Disord Youth/Montgomery," 44,075 "," 44,687 ",1.39% ," 47,335 ",5.93% ,,,
408,Petersburg Regional Alternative," 36,050 "," 38,200 ",5.96% ," 40,000 ",4.71% ,,,
409,Regional Alternative/Pittsylvania Co," 30,916 "," 31,760 ",2.73% ," 33,080 ",4.16% ,,,
410,Project Return/Powhatan Co," 41,063 "," 42,894 ",4.46% ," 60,725 ",41.57% ,,,
411,Crossroads Alternative/Bristol City," 38,528 "," 40,909 ",6.18% ," 37,565 ",(8.18%),,,
412,Metro Richmond Alternative Ed," 37,604 "," 38,434 ",2.21% ," 31,863 ",(17.10%),,,
413,Regional Alternative Ed/Stafford Co," 49,506 "," 40,761 ",(17.66%)," 41,923 ",2.85% ,,,
414,Southside L.I.N.K. Project/Brunswick Co," 33,676 "," 35,117 ",4.28% ," 36,363 ",3.55% ,,,
415,Regional Alternative Ed/King William," 12,228 "," 30,264 ",147.50% ," 30,296 ",0.10% ,,,
416,New Dominion/Prince William Co," 73,523 "," 69,458 ",(5.53%)," 53,315 ",(23.24%),,,
417,Project Bridge/Russell Co," 32,112 "," 32,517 ",1.26% ," 36,892 ",13.45% ,,,
418,Regional Alternative/Wythe Co," 43,120 "," 38,732 ",(10.18%)," 49,526 ",27.87% ,,,
420,On The Right Track Reg Alternative Education," 35,261 "," 38,214 ",8.37% ," 40,122 ",4.99% ,,,
421,Northern Neck Regional Alternative Education," 36,017 "," 37,593 ",4.38% ," 45,720 ",21.62% ,,,
422,Shenandoah Valley Reg Alternative Ed/Genesis," 35,757 "," 36,222 ",1.30% ," 38,872 ",7.32% ,,,
423,Breaking Barriers Alternative Ed/Henry Co," 31,591 "," 33,048 ",4.61% ," 33,600 ",1.67% ,,,
424,Carroll/Galax/Joy Ranch Reg Alternative Ed," 34,408 "," 35,326 ",2.67% ," 36,739 ",4.00% ,,,
426,Regional Learning Academy/Wise Co," 28,227 "," 40,326 ",42.87% ," 37,946 ",(5.90%),,,
427,Regional Community Alternative Ed Continuum," 40,933 "," 37,541 ",(8.29%)," 33,274 ",(11.37%),,,
428,Project Renew/Northampton Co," 32,060 "," 31,611 ",(1.40%)," 31,611 ",0.00% ,,,
429,Renaissance/Scott Co," 43,206 "," 42,659 ",(1.27%)," 43,067 ",0.96% ,,,
430,R.E.Cook Regional Alternative," 42,786 "," 43,867 ",2.52% ," 45,269 ",3.20% ,,,
,Average for Alternative Education Programs5:," 40,389 "," 42,980 ",6.42% ," 43,438 ",1.07% ,,,
,,,,,,,,,
,Statewide Average5: ," 49,131 "," 50,511 ",2.81% ," 51,902 ",2.75% ,,,
,,,,,,,,,
1  Data for Bedford City is reported with Bedford County.,,,,,,,,,
2  Data for Fairfax City is reported with Fairfax County.,,,,,,,,,
3  Data for Emporia City is reported with Greensville County.,,,,,,,,,
4  Data for James City County is reported with Williamsburg City.,,,,,,,,,
5  Average calculated on the basis of statewide totals.,,,,,,,,,
Note: DOE staff prepared the report based on Annual School Report (ASR) data submitted by each school division or regional program.,,,,,,,,,
