Virginia Department of Education,,,,,,,,,
2011-2012 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2010 
Actual Average Teacher Salary","FY 2011 
Actual Average Teacher Salary",FY 2010 to FY 2011 Percent Increase/ (Decrease),"FY 2012 
Budgeted Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease),,,
103,Buena Vista City Public Schools," 39,185 "," 40,793 ",4.10% ," 39,430 ",(3.34%),,,
104,Charlottesville City Public Schools," 54,226 "," 52,660 ",(2.89%)," 53,525 ",1.64% ,,,
106,Colonial Heights City Public Schools," 51,529 "," 51,880 ",0.68% ," 50,997 ",(1.70%),,,
107,Covington City Public Schools," 48,038 "," 50,039 ",4.17% ," 48,679 ",(2.72%),,,
108,Danville City Public Schools," 46,970 "," 46,586 ",(0.82%)," 45,258 ",(2.85%),,,
109,Falls Church City Public Schools," 63,020 "," 62,956 ",(0.10%)," 63,897 ",1.49% ,,,
110,Fredericksburg City Public Schools," 46,944 "," 46,035 ",(1.94%)," 46,351 ",0.69% ,,,
111,Galax City Public Schools," 43,821 "," 43,379 ",(1.01%)," 44,335 ",2.20% ,,,
112,Hampton City Public Schools," 44,616 "," 44,205 ",(0.92%)," 43,985 ",(0.50%),,,
113,Harrisonburg City Public Schools," 46,253 "," 45,474 ",(1.68%)," 45,538 ",0.14% ,,,
114,Hopewell City Public Schools," 45,725 "," 45,360 ",(0.80%)," 45,397 ",0.08% ,,,
115,Lynchburg City Public Schools," 48,050 "," 46,213 ",(3.82%)," 46,671 ",0.99% ,,,
116,Martinsville City Public Schools," 42,803 "," 43,504 ",1.64% ," 42,657 ",(1.95%),,,
117,Newport News City Public Schools," 45,842 "," 47,009 ",2.55% ," 47,473 ",0.99% ,,,
118,Norfolk City Public Schools," 48,058 "," 48,711 ",1.36% ," 50,653 ",3.99% ,,,
119,Norton City Public Schools," 44,528 "," 44,113 ",(0.93%)," 40,623 ",(7.91%),,,
120,Petersburg City Public Schools," 40,316 "," 45,307 ",12.38% ," 45,514 ",0.46% ,,,
121,Portsmouth City Public Schools," 44,450 "," 36,268 ",(18.41%)," 53,090 ",46.38% ,,,
122,Radford City Public Schools," 49,489 "," 48,813 ",(1.37%)," 51,107 ",4.70% ,,,
123,Richmond City Public Schools," 49,395 "," 48,345 ",(2.13%)," 48,890 ",1.13% ,,,
124,Roanoke City Public Schools," 38,723 "," 44,425 ",14.73% ," 36,078 ",(18.79%),,,
126,Staunton City Public Schools," 44,157 "," 44,839 ",1.55% ," 43,594 ",(2.78%),,,
127,Suffolk City Public Schools," 50,130 "," 49,280 ",(1.70%)," 49,288 ",0.02% ,,,
128,Virginia Beach City Public Schools," 52,710 "," 52,732 ",0.04% ," 52,752 ",0.04% ,,,
130,Waynesboro City Public Schools," 43,188 "," 43,048 ",(0.32%)," 42,576 ",(1.10%),,,
131,Williamsburg Public Schools4," 53,754 "," 51,923 ",(3.41%)," 49,039 ",(5.55%),,,
132,Winchester City Public Schools," 47,541 "," 50,170 ",5.53% ," 50,210 ",0.08% ,,,
135,Franklin City Public Schools," 44,111 "," 44,459 ",0.79% ," 47,557 ",6.97% ,,,
136,Chesapeake City Public Schools," 52,514 "," 54,548 ",3.87% ," 53,158 ",(2.55%),,,
137,Lexington City Public Schools," 41,937 "," 41,829 ",(0.26%)," 43,057 ",2.94% ,,,
139,Salem City Public Schools," 53,218 "," 53,186 ",(0.06%)," 53,396 ",0.40% ,,,
142,Poquoson City Public Schools," 47,166 "," 46,396 ",(1.63%)," 44,172 ",(4.79%),,,
143,Manassas City Public Schools," 62,886 "," 61,950 ",(1.49%)," 62,425 ",0.77% ,,,
144,Manassas Park City Public Schools," 56,322 "," 56,230 ",(0.16%)," 55,961 ",(0.48%),,,
Towns,,,,,,,,,
202,Colonial Beach Public Schools," 43,090 "," 41,592 ",(3.48%)," 35,063 ",(15.70%),,,
207,West Point Public Schools," 42,581 "," 41,721 ",(2.02%)," 43,670 ",4.67% ,,,
,Average for School Divisions5:," 51,923 "," 51,541 ",(0.74%)," 52,025 ",0.94% ,,,
,,,,,,,,,
Governor's Schools,,,,,,,,,
260,Central Virginia Governor's School," 63,075 "," 65,710 ",4.18% ," 68,468 ",4.20% ,,,
261,Southwest Virginia Governor's School," 48,233 "," 44,984 ",(6.74%)," 45,056 ",0.16% ,,,
262,Governor's School For The Arts," 40,593 "," 41,566 ",2.40% ," 30,340 ",(27.01%),,,
263,Roanoke Valley Governor's School," 51,858 "," 51,392 ",(0.90%)," 52,005 ",1.19% ,,,
264,New Horizons Governor's School," 44,912 "," 49,335 ",9.85% ," 49,666 ",0.67% ,,,
265,Shenandoah Valley Governor's School," 48,012 "," 50,132 ",4.42% ," 47,119 ",(6.01%),,,
266,Governor's School Global Economics/Tech," 49,643 "," 32,112 ",(35.31%)," 31,446 ",(2.08%),,,
267,Appomattox Regional Governor's School," 48,024 "," 48,473 ",0.93% ," 47,968 ",(1.04%),,,
268,A. Linwood Holton Governor's School," 46,774 "," 47,147 ",0.80% ," 47,150 ",0.01% ,,,
269,Chesapeake Bay Governor's School," 46,779 "," 45,025 ",(3.75%)," 50,445 ",12.04% ,,,
270,Commonwealth Governor's School," 63,408 "," 63,170 ",(0.38%)," 61,536 ",(2.59%),,,
271,Maggie L. Walker Governor's School," 56,613 "," 57,515 ",1.59% ," 51,963 ",(9.65%),,,
272,Thomas Jefferson High School," 78,101 "," 76,874 ",(1.57%)," 80,023 ",4.10% ,,,
273,Blue Ridge Governor's School," 43,973 "," 41,203 ",(6.30%)," 41,203 ",0.00% ,,,
274,Jackson River Governor's School, -   , -   ,, -   ,,,,
275,Massanutten Governor's School," 52,702 "," 52,666 ",(0.07%)," 52,662 ",(0.01%),,,
276,Piedmont Governor's School," 46,528 "," 46,119 ",(0.88%)," 48,428 ",5.01% ,,,
277,Mountain Vista Governor's School," 57,990 "," 58,033 ",0.07% ," 58,174 ",0.24% ,,,
278,Governor's School at Innovation Park, New School ," 59,388 ", New School ," 52,857 ",(11.00%),,,
,Average for Governor's Schools5:," 60,930 "," 59,910 ",(1.67%)," 58,638 ",(2.12%),,,
,,,,,,,,,
Special Education Regional Programs,,,,,,,,,
280,Cooperative Centers For Exceptional Children," 40,597 "," 39,801 ",(1.96%)," 40,199 ",1.00% ,,,
281,Middle Peninsula Special Education Program," 38,879 "," 36,359 ",(6.48%)," 33,471 ",(7.95%),,,
282,Laurel Regional Special Education Center," 46,950 "," 49,591 ",5.62% ," 49,591 ",0.00% ,,,
283,Northern Neck Special Education Program," 42,765 "," 40,934 ",(4.28%)," 41,022 ",0.21% ,,,
284,Northwestern Regional Education Program," 48,015 "," 48,329 ",0.65% ," 48,040 ",(0.60%),,,
285,Peninsula Area Cooperative Education Services," 43,655 "," 44,134 ",1.10% ," 45,551 ",3.21% ,,,
286,Piedmont Regional Education Program," 44,863 "," 40,736 ",(9.20%)," 43,277 ",6.24% ,,,
287,Shenandoah Valley Regional Program," 40,248 "," 42,860 ",6.49% ," 42,513 ",(0.81%),,,
288,Southeastern Cooperative Educational Program," 44,558 "," 46,772 ",4.97% ," 46,992 ",0.47% ,,,
290,N. Virginia Regional Special Education Program," 53,682 "," 56,798 ",5.81% ," 57,792 ",1.75% ,,,
292,Henry Co/Martinsville Regional Program," 39,545 "," 37,085 ",(6.22%)," 40,230 ",8.48% ,,,
299,Roanoke Valley Regional Board," 44,712 "," 45,094 ",0.85% ," 44,592 ",(1.11%),,,
,Average for Special Education Programs5:," 46,498 "," 47,794 ",2.79% ," 48,301 ",1.06% ,,,
,,,,,,,,,
Vocational Education Regional Programs,,,,,,,,,
301,Charlottesville-Albemarle Vocational-Technical," 51,825 "," 58,512 ",12.90% ," 57,819 ",(1.18%),,,
302,Jackson River Technical Center," 47,412 "," 47,235 ",(0.37%)," 48,381 ",2.43% ,,,
304,Massanutten Technical Center," 47,612 "," 49,456 ",3.87% ," 49,454 ",(0.00%),,,
306,Valley Vocational-Technical Center," 48,589 "," 46,473 ",(4.36%)," 46,345 ",(0.28%),,,
307,New Horizons Regional Education Center," 50,381 "," 48,387 ",(3.96%)," 45,783 ",(5.38%),,,
308,P. D. Pruden Vocational-Technical Center," 47,265 "," 50,204 ",6.22% ," 50,204 ",0.00% ,,,
309,Rowanty Vocational-Technical Center," 48,304 "," 52,759 ",9.22% ," 52,759 ",0.00% ,,,
310,Northern Neck Vocational-Technical Center," 40,888 "," 35,706 ",(12.67%)," 38,662 ",8.28% ,,,
311,Amelia-Nottoway Vocational-Technical Center," 39,655 "," 40,051 ",1.00% ," 40,369 ",0.79% ,,,
,Average for Vocational Education Programs5:," 48,188 "," 47,968 ",(0.46%)," 47,916 ",(0.11%),,,
,,,,,,,,,
Regional Alternative Education Programs,,,,,,,,,
401,Lynchburg City Secondary Alternative," 32,017 "," 51,340 ",60.35% ," 51,340 ",0.00% ,,,
402,Enterprise Academy/Newport News City," 53,971 "," 52,762 ",(2.24%)," 53,161 ",0.76% ,,,
403,Tidewater Regional Alternative Education," 40,142 "," 36,510 ",(9.05%)," 37,429 ",2.52% ,,,
404,Regional Alternative Plus Self Project/Roanoke," 44,064 "," 46,294 ",5.06% ," 46,294 ",0.00% ,,,
405,Transition Support Resource Center/Fairfax," 91,067 "," 72,539 ",(20.35%)," 72,859 ",0.44% ,,,
406,Project Return/Fluvanna County," 41,499 "," 40,047 ",(3.50%)," 40,047 ",0.00% ,,,
407,Behav Disord Youth/Montgomery," 46,059 "," 44,799 ",(2.74%)," 48,870 ",9.09% ,,,
408,Petersburg Regional Alternative," 35,870 "," 33,359 ",(7.00%)," 34,360 ",3.00% ,,,
409,Regional Alternative/Pittsylvania Co," 33,080 "," 45,289 ",36.91% ," 44,220 ",(2.36%),,,
410,Project Return/Powhatan Co," 40,283 "," 40,282 ",(0.00%)," 51,392 ",27.58% ,,,
411,Crossroads Alternative/Bristol City," 32,368 "," 36,676 ",13.31% ," 34,737 ",(5.29%),,,
412,Metro Richmond Alternative Ed," 40,629 "," 36,005 ",(11.38%)," 41,048 ",14.01% ,,,
413,Regional Alternative Ed/Stafford Co," 42,351 "," 48,413 ",14.31% ," 49,959 ",3.19% ,,,
414,Southside L.I.N.K. Project/Brunswick Co," 35,356 "," 33,467 ",(5.34%)," 33,467 ",0.00% ,,,
415,Regional Alternative Ed/King William," 32,278 "," 32,036 ",(0.75%)," 32,400 ",1.14% ,,,
416,New Dominion/Prince William Co," 60,433 "," 57,022 ",(5.64%)," 53,455 ",(6.26%),,,
417,Project Bridge/Russell Co," 35,519 "," 34,488 ",(2.90%)," 34,488 ",0.00% ,,,
418,Regional Alternative/Wythe Co," 49,838 "," 49,801 ",(0.08%)," 50,655 ",1.72% ,,,
420,Piedmont Alternative School," 39,875 "," 38,625 ",(3.13%)," 39,100 ",1.23% ,,,
421,Northern Neck Regional Alternative Education," 38,891 "," 38,541 ",(0.90%)," 41,487 ",7.64% ,,,
422,Shenandoah Valley Reg Alternative Ed/Genesis," 35,092 "," 34,884 ",(0.59%)," 35,934 ",3.01% ,,,
423,Breaking Barriers Alternative Ed/Henry Co," 35,115 "," 36,338 ",3.48% ," 35,292 ",(2.88%),,,
424,Carroll/Galax/Joy Ranch Reg Alternative Ed," 36,680 "," 36,384 ",(0.81%)," 37,680 ",3.56% ,,,
426,Regional Learning Academy/Wise Co," 44,396 "," 35,582 ",(19.85%)," 46,325 ",30.19% ,,,
427,Regional Community Alternative Ed Continuum," 40,291 "," 34,816 ",(13.59%)," 44,076 ",26.60% ,,,
428,Project Renew/Northampton Co," 28,064 "," 26,604 ",(5.20%)," 32,379 ",21.71% ,,,
429,Renaissance/Scott Co," 45,692 "," 45,345 ",(0.76%)," 45,349 ",0.01% ,,,
431,Regional Alternative Education Center/Buena Vista, New School ," 41,545 ", New School ," 41,545 ",0.00% ,,,
,Average for Alternative Education Programs5:," 43,808 "," 42,630 ",(2.69%)," 43,620 ",2.32% ,,,
,,,,,,,,,
,Statewide Average5: ," 51,894 "," 51,524 ",(0.71%)," 52,003 ",0.93% ,,,
,,,,,,,,,
1  Data for Bedford City is reported with Bedford County.,,,,,,,,,
2  Data for Fairfax City is reported with Fairfax County.,,,,,,,,,
3  Data for Emporia City is reported with Greensville County.,,,,,,,,,
4  Data for James City County is reported with Williamsburg City.,,,,,,,,,
5  Average calculated on the basis of statewide totals.,,,,,,,,,
Note: DOE staff prepared the report based on Annual School Report (ASR) data submitted by each school division or regional program.,,,,,,,,,
