Virginia Department of Education,,,,,,,,,
2007-2008 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2006 
Actual Average Teacher Salary","FY 2007
Actual Average Teacher Salary",FY 2006 to FY 2007 Percent Increase/ (Decrease),"FY 2008 
Budgeted Average Teacher Salary",FY 2007 to FY 2008 Percent Increase/ (Decrease),,,
079,Richmond County Public Schools," 42,870 "," 44,150 ",2.99% ," 45,739 ",3.60% ,,,
080,Roanoke County Public Schools," 45,891 "," 46,734 ",1.84% ," 47,937 ",2.57% ,,,
081,Rockbridge County Public Schools," 38,168 "," 40,043 ",4.91% ," 40,938 ",2.24% ,,,
082,Rockingham County Public Schools," 41,390 "," 43,154 ",4.26% ," 44,604 ",3.36% ,,,
083,Russell County Public Schools5," 35,479 "," 36,054 ",1.62% ," 37,901 ",5.12% ,,,
084,Scott County Public Schools," 40,877 "," 41,271 ",0.96% ," 41,979 ",1.71% ,,,
085,Shenandoah County Public Schools," 42,805 "," 44,284 ",3.46% ," 45,126 ",1.90% ,,,
086,Smyth County Public Schools," 37,211 "," 36,969 ",(0.65%)," 37,512 ",1.47% ,,,
087,Southampton County Public Schools," 40,444 "," 42,082 ",4.05% ," 44,347 ",5.38% ,,,
088,Spotsylvania County Public Schools," 46,496 "," 49,414 ",6.28% ," 53,956 ",9.19% ,,,
089,Stafford County Public Schools," 49,068 "," 51,383 ",4.72% ," 51,965 ",1.13% ,,,
090,Surry County Public Schools," 44,663 "," 44,351 ",(0.70%)," 41,800 ",(5.75%),,,
091,Sussex County Public Schools," 44,115 "," 44,553 ",0.99% ," 44,366 ",(0.42%),,,
092,Tazewell County Public Schools," 39,337 "," 39,944 ",1.55% ," 41,014 ",2.68% ,,,
093,Warren County Public Schools," 42,427 "," 43,361 ",2.20% ," 44,278 ",2.12% ,,,
094,Washington County Public Schools," 38,215 "," 41,560 ",8.75% ," 42,974 ",3.40% ,,,
095,Westmoreland County Public Schools," 40,581 "," 42,707 ",5.24% ," 42,352 ",(0.83%),,,
096,Wise County Public Schools," 40,831 "," 42,253 ",3.48% ," 40,597 ",(3.92%),,,
097,Wythe County Public Schools," 39,026 "," 41,164 ",5.48% ," 42,751 ",3.86% ,,,
098,York County Public Schools," 46,391 "," 46,925 ",1.15% ," 48,433 ",3.21% ,,,
Cities,,   ,,,,,,,
101,Alexandria City Public Schools," 61,000 "," 65,202 ",6.89% ," 65,085 ",(0.18%),,,
102,Bristol City Public Schools," 43,619 "," 43,373 ",(0.57%)," 48,890 ",12.72% ,,,
103,Buena Vista City Public Schools," 42,425 "," 43,262 ",1.97% ," 43,850 ",1.36% ,,,
104,Charlottesville City Public Schools," 48,037 "," 50,325 ",4.76% ," 53,361 ",6.03% ,,,
106,Colonial Heights City Public Schools," 48,999 "," 47,838 ",(2.37%)," 49,751 ",4.00% ,,,
107,Covington City Public Schools," 47,465 "," 44,640 ",(5.95%)," 46,784 ",4.80% ,,,
108,Danville City Public Schools," 40,064 "," 43,283 ",8.03% ," 43,098 ",(0.43%),,,
109,Falls Church City Public Schools," 57,607 "," 61,887 ",7.43% ," 64,827 ",4.75% ,,,
110,Fredericksburg City Public Schools," 44,864 "," 44,509 ",(0.79%)," 47,989 ",7.82% ,,,
111,Galax City Public Schools," 41,001 "," 41,090 ",0.22% ," 44,117 ",7.37% ,,,
112,Hampton City Public Schools," 37,507 "," 37,594 ",0.23% ," 39,214 ",4.31% ,,,
113,Harrisonburg City Public Schools," 43,074 "," 45,195 ",4.92% ," 46,113 ",2.03% ,,,
114,Hopewell City Public Schools," 42,351 "," 42,378 ",0.07% ," 43,146 ",1.81% ,,,
115,Lynchburg City Public Schools," 41,209 "," 44,702 ",8.48% ," 47,662 ",6.62% ,,,
116,Martinsville City Public Schools," 45,509 "," 34,465 ",(24.27%)," 29,687 ",(13.86%),,,
117,Newport News City Public Schools," 43,812 "," 44,735 ",2.11% ," 46,888 ",4.81% ,,,
118,Norfolk City Public Schools," 44,165 "," 45,288 ",2.54% ," 45,459 ",0.38% ,,,
119,Norton City Public Schools," 41,518 "," 43,339 ",4.39% ," 43,507 ",0.39% ,,,
120,Petersburg City Public Schools," 38,252 "," 38,998 ",1.95% ," 45,358 ",16.31% ,,,
121,Portsmouth City Public Schools," 32,903 "," 34,924 ",6.14% ," 53,486 ",53.15% ,,,
122,Radford City Public Schools," 44,199 "," 45,498 ",2.94% ," 45,873 ",0.82% ,,,
123,Richmond City Public Schools," 45,873 "," 46,845 ",2.12% ," 48,477 ",3.48% ,,,
124,Roanoke City Public Schools," 45,920 "," 47,392 ",3.20% ," 45,209 ",(4.61%),,,
126,Staunton City Public Schools," 38,857 "," 41,087 ",5.74% ," 42,773 ",4.11% ,,,
127,Suffolk City Public Schools," 44,844 "," 47,447 ",5.81% ," 48,225 ",1.64% ,,,
128,Virginia Beach City Public Schools," 47,928 "," 51,102 ",6.62% ," 53,059 ",3.83% ,,,
130,Waynesboro City Public Schools," 43,260 "," 44,056 ",1.84% ," 47,416 ",7.63% ,,,
131,Williamsburg Public Schools4," 50,831 "," 52,367 ",3.02% ," 53,786 ",2.71% ,,,
132,Winchester City Public Schools," 45,022 "," 45,850 ",1.84% ," 48,980 ",6.83% ,,,
135,Franklin City Public Schools," 43,176 "," 43,610 ",1.00% ," 45,938 ",5.34% ,,,
136,Chesapeake City Public Schools," 49,005 "," 51,348 ",4.78% ," 51,429 ",0.16% ,,,
137,Lexington City Public Schools," 38,553 "," 44,251 ",14.78% ," 57,723 ",30.44% ,,,
139,Salem City Public Schools," 49,864 "," 51,211 ",2.70% ," 53,027 ",3.55% ,,,
142,Poquoson City Public Schools," 43,972 "," 43,809 ",(0.37%)," 44,385 ",1.32% ,,,
143,Manassas City Public Schools," 55,744 "," 59,709 ",7.11% ," 59,734 ",0.04% ,,,
144,Manassas Park City Public Schools," 53,649 "," 58,247 ",8.57% ," 61,656 ",5.85% ,,,
Towns,,   ,,,,,,,
202,Colonial Beach Public Schools," 39,867 "," 39,792 ",(0.19%)," 43,714 ",9.86% ,,,
207,West Point Public Schools," 40,797 "," 41,071 ",0.67% ," 46,787 ",13.92% ,,,
,Average for School Divisions5:," 47,255 "," 49,186 ",4.09% ," 50,660 ",3.00% ,,,
,,,,,,,,,
Governor's Schools,,,,,,,,,
260,Central Virginia Governor's School," 60,064 "," 61,147 ",1.80% ," 62,981 ",3.00% ,,,
261,Southwest Virginia Governor's School," 47,416 "," 47,754 ",0.71% ," 45,858 ",(3.97%),,,
262,Governor's School For The Arts," 38,003 "," 41,944 ",10.37% ," 42,309 ",0.87% ,,,
263,Roanoke Valley Governor's School," 46,478 "," 46,710 ",0.50% ," 51,196 ",9.60% ,,,
264,New Horizons Governor's School," 46,437 "," 49,670 ",6.96% ," 54,534 ",9.79% ,,,
265,Shenandoah Valley Governor's School," 44,598 "," 47,209 ",5.86% ," 48,625 ",3.00% ,,,
266,Governor's School Global Economics/Tech," 44,856 "," 45,703 ",1.89% ," 48,757 ",6.68% ,,,
267,Appomattox Regional Governor's School," 40,990 "," 41,986 ",2.43% ," 45,370 ",8.06% ,,,
268,A. Linwood Holton Governor's School," 39,695 "," 41,045 ",3.40% ," 43,098 ",5.00% ,,,
269,Chesapeake Bay Governor's School," 46,869 "," 48,754 ",4.02% ," 49,077 ",0.66% ,,,
270,Commonwealth Governor's School," 58,954 "," 60,014 ",1.80% ," 61,946 ",3.22% ,,,
271,Maggie L. Walker Governor's School," 47,163 "," 52,123 ",10.52% ," 48,045 ",(7.83%),,,
272,Thomas Jefferson High School," 76,635 "," 78,021 ",1.81% ," 81,052 ",3.88% ,,,
273,Blue Ridge Governor's School," 40,597 "," 38,555 ",(5.03%)," 42,506 ",10.25% ,,,
274,Jackson River Governor's School," 54,600 "," 54,600 ",0.00% ," 64,850 ",18.77% ,,,
276,Piedmont Governor's School," 41,923 "," 44,418 ",5.95% ," 46,501 ",4.69% ,,,
277,Mountain Vista Governor's School, New School ," 50,139 ",New School," 51,299 ",2.31% ,,,
,Average for Governor's Schools5:," 57,384 "," 60,529 ",5.48% ," 60,829 ",0.50% ,,,
,,,,,,,,,
Special Education Regional Programs,,,,,,,,,
280,Cooperative Centers For Exceptional Children," 37,632 "," 37,955 ",0.86% ," 39,093 ",3.00% ,,,
281,Middle Peninsula Special Education Program," 36,486 "," 38,883 ",6.57% ," 41,132 ",5.78% ,,,
282,Laurel Regional Special Education Center," 41,389 "," 46,480 ",12.30% ," 47,871 ",2.99% ,,,
283,Northern Neck Special Education Program," 32,624 "," 36,651 ",12.34% ," 43,657 ",19.12% ,,,
284,Northwestern Regional Education Program," 41,259 "," 45,414 ",10.07% ," 46,241 ",1.82% ,,,
285,Peninsula Area Cooperative Education Services," 41,382 "," 41,957 ",1.39% ," 42,281 ",0.77% ,,,
286,Piedmont Regional Education Program," 43,156 "," 44,835 ",3.89% ," 47,400 ",5.72% ,,,
287,Shenandoah Valley Regional Program," 30,464 "," 34,364 ",12.80% ," 36,198 ",5.34% ,,,
288,Southeastern Cooperative Educational Program," 40,167 "," 42,539 ",5.90% ," 42,501 ",(0.09%),,,
290,N. Virginia Regional Special Education Program," 48,153 "," 51,842 ",7.66% ," 52,160 ",0.61% ,,,
292,Henry Co/Martinsville Regional Program," 34,888 "," 34,890 ",0.01% ," 37,683 ",8.00% ,,,
299,Roanoke Valley Regional Board," 39,368 "," 41,169 ",4.58% ," 44,502 ",8.09% ,,,
,Average for Special Education Programs5:," 41,703 "," 44,796 ",7.42% ," 45,343 ",1.22% ,,,
,,,,,,,,,
Vocational Education Regional Programs,,,,,,,,,
301,Charlottesville-Albemarle Vocational-Technical," 45,670 "," 46,398 ",1.59% ," 50,831 ",9.56% ,,,
302,Jackson River Technical Center," 41,258 "," 42,906 ",3.99% ," 44,263 ",3.16% ,,,
304,Massanutten Technical Center," 40,261 "," 45,632 ",13.34% ," 53,237 ",16.67% ,,,
306,Valley Vocational-Technical Center," 42,067 "," 46,374 ",10.24% ," 48,425 ",4.42% ,,,
307,New Horizons Regional Education Center," 41,938 "," 40,341 ",(3.81%)," 41,357 ",2.52% ,,,
308,P. D. Pruden Vocational-Technical Center," 45,385 "," 46,245 ",1.89% ," 51,065 ",10.42% ,,,
309,Rowanty Vocational-Technical Center," 48,639 ", Data not submitted by regional program ,,,,,,
310,Northern Neck Vocational-Technical Center," 43,251 "," 42,779 ",(1.09%)," 41,357 ",(3.32%),,,
311,Amelia-Nottoway Vocational-Technical Center," 37,617 "," 37,084 ",(1.42%)," 37,691 ",1.64% ,,,
,Average for Vocational Education Programs5:," 43,029 "," 41,400 ",(3.79%)," 47,249 ",14.13% ,,,
,,,,,,,,,
Regional Alternative Education Programs,,,,,,,,,
401,Lynchburg City Secondary Alternative," 31,403 "," 42,515 ",35.38% ," 43,790 ",3.00% ,,,
402,Enterprise Academy/Newport News City," 53,161 "," 55,067 ",3.58% ," 56,945 ",3.41% ,,,
403,Tidewater Regional Alternative Education," 37,547 "," 36,674 ",(2.32%)," 43,013 ",17.29% ,,,
404,Regional Alternative Plus Self Project/Roanoke," 33,984 "," 42,453 ",24.92% ," 32,016 ",(24.59%),,,
405,Transition Support Resource Center/Fairfax," 68,505 "," 73,985 ",8.00% ," 74,766 ",1.06% ,,,
406,Project Return/Fluvanna County," 36,721 "," 38,741 ",5.50% ," 39,903 ",3.00% ,,,
407,Behav Disord Youth/Montgomery," 37,838 "," 44,075 ",16.48% ," 44,956 ",2.00% ,,,
408,Petersburg Regional Alternative," 35,000 "," 36,050 ",3.00% ," 36,500 ",1.25% ,,,
409,Regional Alternative/Pittsylvania Co," 35,487 "," 30,916 ",(12.88%)," 44,743 ",44.73% ,,,
410,Project Return/Powhatan Co," 37,083 "," 41,063 ",10.73% ," 58,807 ",43.21% ,,,
411,Crossroads Alternative/Bristol City," 37,478 "," 38,528 ",2.80% ," 41,132 ",6.76% ,,,
412,Metro Richmond Alternative Ed," 35,896 "," 37,604 ",4.76% ," 34,730 ",(7.64%),,,
413,Regional Alternative Ed/Stafford Co," 45,891 "," 49,506 ",7.88% ," 62,827 ",26.91% ,,,
414,Southside L.I.N.K. Project/Brunswick Co," 31,729 "," 33,676 ",6.14% ," 35,360 ",5.00% ,,,
415,Regional Alternative Ed/King William," 11,665 "," 12,228 ",4.82% ," 12,500 ",2.22% ,,,
416,New Dominion/Prince William Co," 51,702 "," 73,523 ",42.21% ," 51,585 ",(29.84%),,,
417,Project Bridge/Russell Co," 27,702 "," 32,112 ",15.92% ," 38,461 ",19.77% ,,,
418,Regional Alternative/Wythe Co," 35,951 "," 43,120 ",19.94% ," 38,732 ",(10.18%),,,
420,On The Right Track Reg Alernative Education," 29,230 "," 35,261 ",20.63% ," 37,314 ",5.82% ,,,
421,Northern Neck Regional Alternative Education," 40,289 "," 36,017 ",(10.60%)," 37,113 ",3.04% ,,,
422,Shenandoah Valley Reg Alternative Ed/Genesis," 28,143 "," 35,757 ",27.06% ," 42,658 ",19.30% ,,,
423,Breaking Barriers Alternative Ed/Henry Co," 30,555 "," 31,591 ",3.39% ," 31,304 ",(0.91%),,,
424,Carroll/Galax/Joy Ranch Reg Alternative Ed," 30,295 "," 34,408 ",13.58% ," 36,227 ",5.29% ,,,
426,Regional Learning Academy/Wise Co," 28,920 "," 28,227 ",(2.40%)," 40,525 ",43.57% ,,,
427,Regional Community Alternative Ed Continuum," 43,703 "," 40,933 ",(6.34%)," 36,755 ",(10.21%),,,
428,Project Renew/Northampton Co," 23,332 "," 32,060 ",37.41% ," 37,872 ",18.13% ,,,
429,Renaissance/Scott Co," 42,734 "," 43,206 ",1.10% ," 51,707 ",19.68% ,,,
430,R.E.Cook Regional Alternative," 41,512 "," 42,786 ",3.07% ," 48,779 ",14.01% ,,,
,Average for Alternative Education Programs5:," 36,592 "," 40,389 ",10.38% ," 41,945 ",3.85% ,,,
,,,,,,,,,
,Statewide Average5: ," 47,220 "," 49,164 ",4.12% ," 50,633 ",2.99% ,,,
,,,,,,,,,
1  Data for Bedford City is reported with Bedford County.,,,,,,,,,
2  Data for Fairfax City is reported with Fairfax County.,,,,,,,,,
3  Data for Emporia City is reported with Greensville County.,,,,,,,,,
4  Data for James City County is reported with Williamsburg City.,,,,,,,,,
5  Average calculated on the basis of statewide totals.,,,,,,,,,
Note:DOE staff prepared the report based on Annual School Report (ASR) data submitted by each school division or regional program.,,,,,,,,,
