Virginia Department of Education,,,,,,,,,
2012-2013 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2011 
Actual Average Teacher Salary","FY 2012 
Actual Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease),"FY 2013 
Budgeted Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease),,,
103,Buena Vista City Public Schools," 40,793 "," 41,397 ",1.48% ," 38,086 ",(8.00%),,,
104,Charlottesville City Public Schools," 52,660 "," 52,790 ",0.25% ," 58,673 ",11.14% ,,,
106,Colonial Heights City Public Schools," 51,880 "," 50,451 ",(2.75%)," 52,713 ",4.48% ,,,
107,Covington City Public Schools," 50,039 "," 51,412 ",2.74% ," 47,256 ",(8.08%),,,
108,Danville City Public Schools," 46,586 "," 45,898 ",(1.48%)," 46,708 ",1.76% ,,,
109,Falls Church City Public Schools," 62,956 "," 63,273 ",0.50% ," 66,784 ",5.55% ,,,
110,Fredericksburg City Public Schools," 46,035 "," 45,704 ",(0.72%)," 46,543 ",1.84% ,,,
111,Galax City Public Schools," 43,379 "," 45,100 ",3.97% ," 47,379 ",5.05% ,,,
112,Hampton City Public Schools," 44,205 "," 45,137 ",2.11% ," 45,520 ",0.85% ,,,
113,Harrisonburg City Public Schools," 45,474 "," 45,439 ",(0.08%)," 45,619 ",0.40% ,,,
114,Hopewell City Public Schools," 45,360 "," 45,013 ",(0.77%)," 48,708 ",8.21% ,,,
115,Lynchburg City Public Schools," 46,213 "," 41,960 ",(9.20%)," 40,322 ",(3.90%),,,
116,Martinsville City Public Schools," 43,504 "," 42,969 ",(1.23%)," 43,121 ",0.35% ,,,
117,Newport News City Public Schools," 47,009 "," 48,228 ",2.59% ," 49,179 ",1.97% ,,,
118,Norfolk City Public Schools," 48,711 "," 48,967 ",0.52% ," 56,714 ",15.82% ,,,
119,Norton City Public Schools," 44,113 "," 40,934 ",(7.21%)," 38,445 ",(6.08%),,,
120,Petersburg City Public Schools," 45,307 "," 40,644 ",(10.29%)," 41,267 ",1.53% ,,,
121,Portsmouth City Public Schools," 36,268 "," 36,517 ",0.69% ," 37,506 ",2.71% ,,,
122,Radford City Public Schools," 48,813 "," 48,016 ",(1.63%)," 50,349 ",4.86% ,,,
123,Richmond City Public Schools," 48,345 "," 50,485 ",4.43% ," 49,511 ",(1.93%),,,
124,Roanoke City Public Schools," 44,425 "," 48,039 ",8.13% ," 52,445 ",9.17% ,,,
126,Staunton City Public Schools," 44,839 "," 41,588 ",(7.25%)," 40,499 ",(2.62%),,,
127,Suffolk City Public Schools," 49,280 "," 48,516 ",(1.55%)," 46,549 ",(4.05%),,,
128,Virginia Beach City Public Schools," 52,732 "," 53,201 ",0.89% ," 53,586 ",0.72% ,,,
130,Waynesboro City Public Schools," 43,048 "," 44,929 ",4.37% ," 45,031 ",0.23% ,,,
131,Williamsburg Public Schools4," 51,923 "," 51,572 ",(0.68%)," 51,535 ",(0.07%),,,
132,Winchester City Public Schools," 50,170 "," 51,256 ",2.16% ," 54,178 ",5.70% ,,,
135,Franklin City Public Schools," 44,459 "," 45,159 ",1.57% ," 49,402 ",9.40% ,,,
136,Chesapeake City Public Schools," 54,548 "," 53,043 ",(2.76%)," 54,506 ",2.76% ,,,
137,Lexington City Public Schools," 41,829 "," 45,733 ",9.33% ," 48,294 ",5.60% ,,,
139,Salem City Public Schools," 53,186 "," 54,493 ",2.46% ," 56,552 ",3.78% ,,,
142,Poquoson City Public Schools," 46,396 "," 45,984 ",(0.89%)," 42,437 ",(7.71%),,,
143,Manassas City Public Schools," 61,950 "," 63,340 ",2.24% ," 62,095 ",(1.97%),,,
144,Manassas Park City Public Schools," 56,230 "," 56,934 ",1.25% ," 54,891 ",(3.59%),,,
Towns,,,,,,,,,
202,Colonial Beach Public Schools," 41,592 "," 38,843 ",(6.61%)," 39,681 ",2.16% ,,,
207,West Point Public Schools," 41,721 "," 41,751 ",0.07% ," 45,430 ",8.81% ,,,
,Average for School Divisions5:," 51,541 "," 52,118 ",1.12% ," 52,564 ",0.86% ,,,
,,,,,,,,,
Governor's Schools,,,,,,,,,
260,Central Virginia Governor's School," 65,710 "," 66,793 ",1.65% ," 70,634 ",5.75% ,,,
261,Southwest Virginia Governor's School," 44,984 "," 55,945 ",24.36% ," 59,136 ",5.70% ,,,
262,Governor's School For The Arts," 41,566 "," 38,928 ",(6.35%)," 38,757 ",(0.44%),,,
263,Roanoke Valley Governor's School," 51,392 "," 50,060 ",(2.59%)," 46,228 ",(7.65%),,,
264,New Horizons Governor's School," 49,335 "," 47,877 ",(2.95%)," 47,942 ",0.14% ,,,
265,Shenandoah Valley Governor's School," 50,132 "," 48,572 ",(3.11%)," 51,361 ",5.74% ,,,
266,Governor's School Global Economics/Tech," 32,112 "," 42,384 ",31.99% ," 43,920 ",3.62% ,,,
267,Appomattox Regional Governor's School," 48,473 "," 48,659 ",0.39% ," 48,580 ",(0.16%),,,
268,A. Linwood Holton Governor's School," 47,147 "," 48,454 ",2.77% ," 51,061 ",5.38% ,,,
269,Chesapeake Bay Governor's School," 45,025 "," 46,499 ",3.27% ," 40,315 ",(13.30%),,,
270,Commonwealth Governor's School," 63,170 "," 59,944 ",(5.11%)," 74,871 ",24.90% ,,,
271,Maggie L. Walker Governor's School," 57,515 "," 56,056 ",(2.54%)," 48,528 ",(13.43%),,,
272,Thomas Jefferson High School," 76,874 "," 76,375 ",(0.65%)," 80,577 ",5.50% ,,,
273,Blue Ridge Governor's School," 41,203 "," 40,652 ",(1.34%)," 40,793 ",0.35% ,,,
274,Jackson River Governor's School, -   , -   ,, -   ,,,,
275,Massanutten Governor's School," 52,666 "," 52,672 ",0.01% ," 54,325 ",3.14% ,,,
276,Piedmont Governor's School," 46,119 "," 46,473 ",0.77% ," 47,465 ",2.13% ,,,
277,Mountain Vista Governor's School," 58,033 "," 56,764 ",(2.19%)," 60,731 ",6.99% ,,,
278,Governor's School at Innovation Park," 59,388 "," 60,983 ",2.69% ," 58,436 ",(4.18%),,,
,Average for Governor's Schools5:," 59,910 "," 59,766 ",(0.24%)," 60,777 ",1.69% ,,,
,,,,,,,,,
Special Education Regional Programs,,,,,,,,,
280,Cooperative Centers For Exceptional Children," 39,801 "," 39,787 ",(0.04%)," 40,583 ",2.00% ,,,
281,Middle Peninsula Special Education Program," 36,359 "," 39,618 ",8.96% ," 43,498 ",9.79% ,,,
282,Laurel Regional Special Education Center," 49,591 "," 48,515 ",(2.17%)," 51,304 ",5.75% ,,,
283,Northern Neck Special Education Program," 40,934 "," 37,905 ",(7.40%)," 42,668 ",12.57% ,,,
284,Northwestern Regional Education Program," 48,329 "," 47,817 ",(1.06%)," 50,278 ",5.15% ,,,
285,Peninsula Area Cooperative Education Services," 44,134 "," 43,713 ",(0.96%)," 43,334 ",(0.87%),,,
286,Piedmont Regional Education Program," 40,736 "," 42,050 ",3.23% ," 35,728 ",(15.04%),,,
287,Shenandoah Valley Regional Program," 42,860 "," 44,577 ",4.01% ," 54,233 ",21.66% ,,,
288,Southeastern Cooperative Educational Program," 46,772 "," 45,887 ",(1.89%)," 47,692 ",3.93% ,,,
290,N. Virginia Regional Special Education Program," 56,798 "," 57,726 ",1.63% ," 57,726 ",0.00% ,,,
292,Henry Co/Martinsville Regional Program," 37,085 "," 39,720 ",7.11% ," 40,630 ",2.29% ,,,
299,Roanoke Valley Regional Board," 45,094 "," 43,135 ",(4.35%)," 43,719 ",1.36% ,,,
,Average for Special Education Programs5:," 47,794 "," 47,872 ",0.16% ," 49,847 ",4.13% ,,,
,,,,,,,,,
Vocational Education Regional Programs,,,,,,,,,
301,Charlottesville-Albemarle Vocational-Technical," 58,512 "," 60,094 ",2.70% ," 62,582 ",4.14% ,,,
302,Jackson River Technical Center," 47,235 "," 47,940 ",1.49% ," 49,096 ",2.41% ,,,
304,Massanutten Technical Center," 49,456 "," 48,184 ",(2.57%)," 51,680 ",7.25% ,,,
306,Valley Vocational-Technical Center," 46,473 "," 46,171 ",(0.65%)," 47,612 ",3.12% ,,,
307,New Horizons Regional Education Center," 48,387 "," 50,528 ",4.42% ," 49,505 ",(2.02%),,,
308,P. D. Pruden Vocational-Technical Center," 50,204 "," 47,900 ",(4.59%)," 47,900 ",0.00% ,,,
309,Rowanty Vocational-Technical Center," 52,759 "," 46,939 ",(11.03%)," 52,808 ",12.50% ,,,
310,Northern Neck Vocational-Technical Center," 35,706 "," 43,049 ",20.56% ," 44,151 ",2.56% ,,,
311,Amelia-Nottoway Vocational-Technical Center," 40,051 "," 51,968 ",29.76% ," 52,002 ",0.07% ,,,
,Average for Vocational Education Programs5:," 47,968 "," 48,564 ",1.24% ," 50,203 ",3.37% ,,,
,,,,,,,,,
Regional Alternative Education Programs,,,,,,,,,
401,Lynchburg City Secondary Alternative," 51,340 "," 52,215 ",1.71% ," 55,218 ",5.75% ,,,
402,Enterprise Academy/Newport News City," 52,762 "," 51,859 ",(1.71%)," 53,620 ",3.40% ,,,
403,Tidewater Regional Alternative Education," 36,510 "," 36,643 ",0.36% ," 37,429 ",2.14% ,,,
404,Regional Alternative Plus Self Project/Roanoke," 46,294 "," 48,249 ",4.22% ," 48,743 ",1.02% ,,,
405,Transition Support Resource Center/Fairfax," 72,539 "," 83,364 ",14.92% ," 86,073 ",3.25% ,,,
406,Project Return/Fluvanna County," 40,047 "," 40,047 ",0.00% ," 40,488 ",1.10% ,,,
407,Behav Disord Youth/Montgomery," 44,799 "," 44,143 ",(1.47%)," 50,092 ",13.48% ,,,
408,Petersburg Regional Alternative," 33,359 "," 35,027 ",5.00% ," 36,775 ",4.99% ,,,
409,Regional Alternative/Pittsylvania Co," 45,289 "," 41,375 ",(8.64%)," 33,109 ",(19.98%),,,
410,Project Return/Powhatan Co," 40,282 "," 39,908 ",(0.93%)," 54,741 ",37.17% ,,,
411,Crossroads Alternative/Bristol City," 36,676 "," 34,733 ",(5.30%)," 35,418 ",1.97% ,,,
412,Metro Richmond Alternative Ed," 36,005 "," 40,499 ",12.48% ," 42,047 ",3.82% ,,,
413,Regional Alternative Ed/Stafford Co," 48,413 "," 50,719 ",4.76% ," 50,429 ",(0.57%),,,
414,Southside L.I.N.K. Project/Brunswick Co," 33,467 "," 36,742 ",9.79% ," 36,742 ",0.00% ,,,
415,Regional Alternative Ed/King William," 32,036 "," 30,797 ",(3.87%)," 33,600 ",9.10% ,,,
416,New Dominion/Prince William Co," 57,022 "," 62,653 ",9.87% ," 53,455 ",(14.68%),,,
417,Project Bridge/Russell Co," 34,488 "," 31,996 ",(7.22%)," 31,572 ",(1.33%),,,
418,Regional Alternative/Wythe Co," 49,801 "," 50,655 ",1.72% ," 38,000 ",(24.98%),,,
420,Piedmont Alternative School," 38,625 "," 39,100 ",1.23% ," 41,305 ",5.64% ,,,
421,Northern Neck Regional Alternative Education," 38,541 "," 47,779 ",23.97% ," 50,168 ",5.00% ,,,
422,Shenandoah Valley Reg Alternative Ed/Genesis," 34,884 "," 37,565 ",7.69% ," 40,586 ",8.04% ,,,
423,Breaking Barriers Alternative Ed/Henry Co," 36,338 "," 38,450 ",5.81% ," 40,282 ",4.76% ,,,
424,Carroll/Galax/Joy Ranch Reg Alternative Ed," 36,384 "," 37,247 ",2.37% ," 36,727 ",(1.40%),,,
426,Regional Learning Academy/Wise Co," 35,582 "," 49,823 ",40.02% ," 61,667 ",23.77% ,,,
427,Regional Community Alternative Ed Continuum," 34,816 "," 46,513 ",33.60% ," 46,827 ",0.67% ,,,
428,Project Renew/Northampton Co," 26,604 "," 27,014 ",1.54% ," 32,245 ",19.37% ,,,
429,Renaissance/Scott Co," 45,345 "," 44,103 ",(2.74%)," 46,308 ",5.00% ,,,
431,Regional Alternative Education Center/Buena Vista," 41,545 "," 43,343 ",4.33% ," 45,641 ",5.30% ,,,
,Average for Alternative Education Programs5:," 42,630 "," 44,894 ",5.31% ," 45,059 ",0.37% ,,,
,,,,,,,,,
,Statewide Average5: ," 51,524 "," 52,096 ",1.11% ," 52,561 ",0.89% ,,,
,,,,,,,,,
1  Data for Bedford City is reported with Bedford County.,,,,,,,,,
2  Data for Fairfax City is reported with Fairfax County.,,,,,,,,,
3  Data for Emporia City is reported with Greensville County.,,,,,,,,,
4  Data for James City County is reported with Williamsburg City.,,,,,,,,,
5  Average calculated on the basis of statewide totals.,,,,,,,,,
Note: DOE staff prepared the report based on Annual School Report (ASR) data submitted by each school division or regional program.,,,,,,,,,
